time,OH,O3,H2O2,HO2,O2-,ONOOH,O2NOOH,O3-,NO3,Cl,Cl2-,HOCl-,Cl2,HClO,ClO-,ClNO2,HOClH,ClO,ClO2,Cl2O2,HClO2,ClO2-,NO2-,NO3-,NO,NO2,N2O3,N2O4,N2O5,HONO,HONO2,ONOO-,O2NOO-,HO2-,O-,H,HO3,Cl-,H+,OH-,O2,pH,HONO_total,HONO2_total,H2O2_total,HO2_total,ONOOH_total,O2NOOH_total,HClO_total,HClO2_total
0.0,6.797931466821083e-17,2.3570411745444132e-20,3.046821526207965e-08,5.397790731728427e-16,8.55460778587712e-14,1.5373310798709637e-18,9.292078814151784e-18,1e-30,1e-30,2.163873488552645e-17,2.6142122616055358e-15,3.3567321524263435e-17,1.3392637878929666e-15,1.5082819990054204e-12,4.769431407432299e-13,3.160774436248311e-16,5.739157824713265e-17,1.0217034753451023e-17,1e-30,1.5655265475103921e-27,1e-30,2.0099634475823185e-26,1.686696367147654e-08,1.7924571202376456e-08,1e-30,9.093865087938859e-13,1e-30,4.7111878226478e-20,1e-30,4.23694523121556e-12,8.193410530805804e-17,3.86145934436685e-18,1.1697604783814693e-16,6.820733399321396e-13,1e-30,1e-30,1e-30,0.153999999998005,1.0000367052677128e-07,9.999632960795145e-08,0.0002500000000003883,6.999984059397326,1.6871200616707755e-08,1.792457128431056e-08,3.046889733541958e-08,8.608585693194405e-14,5.398790424237814e-18,1.2626812665229872e-16,1.98522513974865e-12,2.0100634475823185e-26
1.0,9.850800501771835e-17,1.5329236552607362e-10,6.09385468909004e-08,4.874204146404368e-16,7.325883121948402e-14,1.2266884735096585e-18,1.176988553889123e-17,2.1376268361139363e-17,1e-30,2.9974615633536995e-17,7.236446532783795e-16,6.259165309076393e-17,6.417508437686903e-16,1.5818768443429317e-12,4.743828060145508e-13,1.1351057724688742e-11,1e-30,1.0972002022843864e-17,1e-30,1.805360447869608e-27,2.04166919923889e-26,2.1724092725486108e-21,3.3731483020449286e-08,4.1308609504831856e-08,1e-30,1.0035686648275039e-12,1e-30,1.535236707033319e-18,1e-30,8.93468333530143e-12,1.991059807505784e-16,2.9220695946839653e-18,1.4051688385742023e-16,1.2937440481741367e-12,1e-30,1e-30,1.8681231503462848e-20,0.15399999998658878,1.0544930681677926e-07,9.483229716602352e-08,0.0002500000026977609,6.976956270800144,3.374041770378459e-08,4.1308609703937836e-08,6.093984063494857e-08,7.374625163412446e-14,4.1487580681936236e-18,1.5228676939631147e-16,2.0562596503574823e-12,2.172429689240603e-21
2.0,9.190755657390244e-17,7.081062956931478e-10,9.140904068193813e-08,1.9402450951006886e-16,2.5441513539328568e-14,2.864755875949876e-17,7.581045928298258e-16,1e-30,1e-30,3.390689311018025e-17,9.358287842743246e-16,4.965937402773716e-17,1.347870045222875e-15,1.853178413752126e-12,4.848457386414184e-13,3.2090623132804875e-11,1e-30,1.2174883850103919e-17,1e-30,2.2227750381236712e-27,1.2947952020821254e-25,1.2019528499209395e-20,5.0580437002840866e-08,7.468926513198307e-08,1e-30,1.2981012244441826e-10,1e-30,9.615026977559292e-16,1e-30,1.5356640839222218e-11,4.126404860292039e-16,5.953522084763067e-17,7.896151599686879e-15,1.6930722878184907e-12,1e-30,1e-30,1.304508427055667e-15,0.15399999996556582,1.2086864400490787e-07,8.273444351368706e-08,0.00025000002118493955,6.917686350105821,5.059579364368009e-08,7.468926554462356e-08,9.141073375422595e-08,2.5635538048838638e-14,8.818277960712942e-17,8.654256192516705e-15,2.338024152393544e-12,1.2019657978729604e-20
3.0,1.4747307930973048e-16,1.5246942432864906e-09,1.2187974926803835e-07,1.2953195750880672e-16,1.4218513402212847e-14,9.890512270471478e-17,8.247030711179684e-16,3.0940812128949836e-17,5.6546193440788466e-27,4.203292801103371e-17,6.531220802581335e-16,5.109290676541097e-17,1.4605090376624842e-15,2.3414753107900423e-12,5.128222334478404e-13,4.9100588913499114e-11,1e-30,1.384568291297116e-17,1e-30,2.874748992403987e-27,4.338068691648437e-25,3.371115928261338e-20,6.739950507280457e-08,1.1619012980443745e-07,1e-30,2.3850695172825973e-10,1e-30,3.2437315104787002e-15,1e-30,2.4444403529533202e-11,7.668174263676418e-16,1.7206639074405835e-16,7.190761339583477e-15,1.8897694116496187e-12,1.062047129579446e-18,1e-30,1e-30,0.15399999994803978,1.443852193647191e-07,6.925916685931583e-08,0.0002500000740646287,6.840477262977547,6.742394947633411e-08,1.1619013057125488e-07,1.2188163903745e-07,1.4348045359721654e-14,2.7097151344877313e-16,8.015464410701445e-15,2.8542975442378827e-12,3.3711593089482545e-20
4.0,2.340812899974617e-16,2.494113315289699e-09,1.5235054170873056e-07,1.4127780896553965e-16,1.2884743701399842e-14,1.691955684878227e-16,1.0877812031765321e-15,6.89919709998961e-17,1e-30,5.580259790873803e-17,1.1389736786413472e-15,3.872395446487913e-17,2.7663194549172044e-15,3.1249858949563313e-12,5.686563519707747e-13,6.098188282537629e-11,1.7211167407195706e-17,1.5455834096400528e-17,1e-30,3.5821598848654944e-27,1.1100062371872003e-24,7.166832464811636e-20,8.416720124964455e-08,1.6361168575825325e-07,1e-30,3.1322010635013483e-10,1e-30,5.593703367945784e-15,1e-30,3.674016081653576e-11,1.2996083294958139e-15,2.4456303604950584e-16,7.880311466272196e-15,1.9626634551491173e-12,8.570160456638924e-17,1e-30,1e-30,0.15399999993531593,1.737793493331025e-07,5.754423663327149e-08,0.00025000018229057197,6.760001833201126,8.420394141046109e-08,1.636116870578616e-07,1.523525043721857e-07,1.3026021510365382e-14,4.1375860453732854e-16,8.968092669448728e-15,3.693642246927106e-12,7.166943465435355e-20
5.0,2.3721724857198495e-16,3.524307057276249e-09,1.828213533917194e-07,1.6807551643700515e-16,1.2931869437886247e-14,2.6672751937117817e-16,1.5075019149081328e-15,5.680234231067187e-17,2.3095047358621754e-26,6.475422858317815e-17,7.629639500160629e-16,6.57884525241315e-17,2.791391210961557e-15,4.220556970664526e-12,6.479278143526363e-13,6.706973178908419e-11,1e-30,1.79089794761629e-17,1e-30,4.809040242802308e-27,2.4113223344832384e-24,1.3134457078522448e-19,1.0086411792948447e-07,2.1390980925102868e-07,1e-30,3.7637149277657703e-10,1e-30,8.076079463289067e-15,1e-30,5.218910366462176e-11,2.0140666746464103e-15,3.2525552525179607e-16,9.213289745930538e-15,1.986935533233119e-12,1.3567155403746738e-20,1e-30,1e-30,0.1539999999280544,2.0598857968669415e-07,4.854638065474244e-08,0.00025000036609317374,6.686156856895587,1.0091630703314909e-07,2.1390981126509536e-07,1.8282334032725262e-07,1.3099944954323252e-14,5.919830446229742e-16,1.0720791660838671e-14,4.868484785017162e-12,1.3134698210755896e-19
6.0,2.847336159707464e-16,4.558566437012841e-09,2.1329213311132756e-07,2.0873030325786862e-16,1.3765871622904762e-14,1.8057956351452573e-16,1.7567232698912087e-15,8.995337827409429e-17,4.1336282808068207e-26,7.921723132337142e-17,5.562191743433344e-16,5.1461310361083497e-17,1.1267910268705808e-15,5.649668042954835e-12,7.434318134654419e-13,7.173825371753687e-11,1e-30,2.7880725461493134e-17,1e-30,1.1658118227764531e-26,4.672350417917766e-24,2.1814919647909614e-19,1.1745858237947408e-07,2.664229724239453e-07,1e-30,3.3915503183078896e-10,1e-30,6.560835392627767e-15,1e-30,7.090331555207106e-11,2.926533220003527e-15,1.8874993466409602e-16,9.202833508077913e-15,1.9869779543954327e-12,2.063703936979637e-18,1e-30,2.3788104868216813e-19,0.15399999992186475,2.403155032648299e-07,4.1611963706644046e-08,0.0002500006439234635,6.619218211030544,1.1752948569502615e-07,2.6642297535047853e-07,2.1329412008928195e-07,1.3974601926162631e-14,3.6932949817862175e-16,1.0959556777969121e-14,6.393099856420277e-12,2.1815386882951407e-19
7.0,3.4257234986330316e-17,5.598086747151269e-09,2.437617363765884e-07,1e-30,1e-30,1e-30,4.352175966325988e-17,1e-30,1e-30,1.1320641399648122e-17,3.299380897881938e-16,4.505175303167894e-17,1.3137750598625253e-14,8.579158897622043e-12,9.76890722174405e-13,7.816675528116515e-11,1e-30,3.834488682105569e-17,1.5953628206963044e-23,2.205145971522728e-26,8.60511692554551e-24,3.47662660447849e-19,1.3393272057846763e-07,3.221222379539221e-07,1e-30,3.098539515902854e-10,1e-30,5.4796358918801916e-15,1e-30,9.342979961380935e-11,4.089021879029147e-15,1e-30,1.972912024386393e-16,1.9650192452999937e-12,1e-30,1e-30,1e-30,0.15399999991224905,2.7771460931268307e-07,3.60081884951931e-08,0.00025000103407422545,6.5564012733754335,1.3402615037808144e-07,3.2212224204294394e-07,2.4376370139583373e-07,2e-30,2e-30,2.408129621018992e-16,9.556049619796448e-12,3.476712655647745e-19
8.0,1.68190442445238e-16,6.661493713582019e-09,2.742327020697637e-07,2.4143446546580466e-16,1.2008516595353197e-14,7.992721075985799e-16,3.4880043423243304e-15,1.0887420716000257e-16,6.543648798300018e-24,3.908310446266367e-17,1e-30,1.9344670715234755e-17,1e-30,1.0578363866163341e-11,1.0498049037384313e-12,8.543844021694582e-11,1e-30,6.952603932276898e-17,2.8624300850860795e-23,7.249372204834421e-26,1.4885668477458207e-23,5.241534372117753e-19,1.502667156296512e-07,3.814951647378288e-07,1e-30,2.866226067373075e-10,1e-30,4.6926884919174925e-15,1e-30,1.202742613885317e-10,5.556469595211588e-15,6.300641264253578e-16,1.3780567812239793e-14,1.9266788877906007e-12,2.550022289046128e-20,1e-30,1.707087325019035e-17,0.15399999990405885,3.186470516186077e-07,3.138268485210751e-08,0.00025000155776869036,6.496690095610894,1.5038698989103975e-07,3.814951702942984e-07,2.742346287486515e-07,1.2249951060819002e-14,1.4293362340239376e-15,1.7268572154564124e-14,1.1628168769901772e-11,5.241683228802527e-19
9.0,1e-30,7.731467029891336e-09,3.047034248502906e-07,2.4638482050475974e-16,1.0730698916349345e-14,7.871907794453026e-16,2.949790146850431e-15,2.50885627270881e-16,1e-30,1e-30,1e-30,1e-30,1.4771656605799876e-15,1.2988881697122676e-11,1.1287189667068062e-12,9.431430587753153e-11,1e-30,8.63622260597281e-17,4.6604037436798795e-23,1.1186461696922202e-25,2.384646619087925e-23,7.352551779213375e-19,1.664415488437662e-07,4.4534768091801627e-07,1e-30,2.6799993799127434e-10,1e-30,4.1072311208887466e-15,1e-30,1.5214149759992937e-10,7.407729810586356e-15,5.433680021157342e-16,1.0204816088169514e-14,1.8745256925897857e-12,1.1397825731477876e-21,1e-30,1.3361688344219513e-15,0.15399999989294594,3.6390325344865405e-07,2.747983126073089e-08,0.0002500022333188855,6.439014061620466,1.6659369034136614e-07,4.453476883257461e-07,3.047052993759832e-07,1.0977083736854105e-14,1.330558781561037e-15,1.3154606235019945e-14,1.4117600663829482e-11,7.352790243875284e-19
