Time,O3,NO,NO2,NO3,N2O4,N2O5,HONO,HONO2,R2,Plasma_Type,Humidity_Weight,Saturated_Excluded
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,mixed,0.0,0
1.0,1760126645870669.0,0.0,0.0,0.0,0.0,367996522906452.8,0.0,0.0,0.9970764080020349,O3_dominant,0.0,0
2.0,6469415864246855.0,0.0,335675967733954.8,0.0,0.0,1062979172923984.4,0.0,0.0,0.9979842824562438,O3_dominant,0.0,0
3.0,9813225890017656.0,0.0,321049627922991.75,0.0,0.0,1628994949919154.2,0.0,0.0,0.998009362109141,O3_dominant,0.0,0
4.0,1.2164520360505482e+16,0.0,270900563802788.62,0.0,0.0,2034104022270421.8,0.0,0.0,0.9980325164928597,O3_dominant,0.0,0
5.0,1.370556661214123e+16,0.0,281244456498010.88,0.0,0.0,2226991726972628.2,0.0,0.0,0.9980794533638456,O3_dominant,0.0,0
6.0,1.481489411960811e+16,0.0,0.0,0.0,0.0,2374043604372916.5,0.0,0.0,0.9980660557801305,O3_dominant,0.0,0
7.0,1.6146029834967602e+16,0.0,0.0,0.0,0.0,2587486182925444.0,0.0,0.0,0.9981015397907257,O3_dominant,0.0,0
8.0,1.7921339578051694e+16,0.0,0.0,0.0,0.0,2832888090608249.0,0.0,0.0,0.998114321823628,O3_dominant,0.0,0
9.0,1.9712802592958944e+16,0.0,0.0,0.0,0.0,3132761314457832.0,0.0,0.0,0.9981667419583357,O3_dominant,0.0,0
10.0,2.1400183979960724e+16,0.0,0.0,0.0,0.0,3308089257615706.5,0.0,0.0,0.9981892828814758,O3_dominant,0.0,0
11.0,2.2938669276484056e+16,0.0,0.0,0.0,0.0,3566607384753434.5,0.0,0.0,0.9981476248062487,O3_dominant,0.0,0
12.0,2.432334676562296e+16,0.0,0.0,0.0,0.0,3697579697288245.5,0.0,0.0,0.9981395735538644,O3_dominant,0.0,0
13.0,2.559486730723578e+16,0.0,0.0,0.0,0.0,3860195946009230.5,0.0,0.0,0.9981514911471808,O3_dominant,0.0,0
14.0,2.6759702065371576e+16,0.0,0.0,0.0,0.0,4140010746744947.5,0.0,0.0,0.9981668448244377,O3_dominant,0.0,0
15.0,2.785068678475701e+16,0.0,0.0,0.0,0.0,4347852616912630.0,0.0,0.0,0.9981886783123056,O3_dominant,0.0,0
16.0,2.888176906775609e+16,0.0,0.0,0.0,0.0,4437358181106343.0,0.0,0.0,0.9981716657607694,O3_dominant,0.0,0
17.0,2.983733767112564e+16,0.0,0.0,0.0,0.0,4650908864950695.0,0.0,0.0,0.9981315374435659,O3_dominant,0.0,0
18.0,3.081176162281332e+16,0.0,0.0,0.0,0.0,4807451366887544.0,0.0,0.0,0.9981264151326398,O3_dominant,0.0,0
19.0,3.1739176950321652e+16,0.0,0.0,0.0,0.0,4976353898712168.0,0.0,0.0,0.9981024112860643,O3_dominant,0.0,0
20.0,3.2674703793734976e+16,0.0,0.0,0.0,0.0,5114475086461331.0,0.0,0.0,0.9981024443239772,O3_dominant,0.0,0
21.0,3.3586279346294252e+16,0.0,0.0,0.0,0.0,5354974178181081.0,0.0,0.0,0.9980637354801853,O3_dominant,0.0,0
22.0,3.4412006110135092e+16,0.0,0.0,0.0,0.0,5450100789125942.0,0.0,0.0,0.9980746486959919,O3_dominant,0.0,0
23.0,3.520331203491396e+16,0.0,0.0,0.0,0.0,5580131558881994.0,0.0,0.0,0.9980559158709553,O3_dominant,0.0,0
24.0,3.600369455290264e+16,0.0,0.0,0.0,0.0,5760662045775596.0,0.0,0.0,0.9980512317112572,O3_dominant,0.0,0
25.0,3.673311466871173e+16,0.0,0.0,0.0,0.0,5918055992077804.0,0.0,0.0,0.9980160392349087,O3_dominant,0.0,0
26.0,3.737967249592254e+16,0.0,0.0,0.0,0.0,6077263305227587.0,0.0,0.0,0.9980065920166746,O3_dominant,0.0,0
27.0,3.798144935058301e+16,0.0,0.0,0.0,0.0,6136986662241707.0,0.0,0.0,0.9979911568662325,O3_dominant,0.0,0
28.0,3.852732545956646e+16,0.0,0.0,0.0,0.0,6230461556310523.0,0.0,0.0,0.997963854573622,O3_dominant,0.0,0
29.0,3.907757833626242e+16,0.0,0.0,0.0,0.0,6379819961335822.0,0.0,0.0,0.9979350588109435,O3_dominant,0.0,0
30.0,3.973744447150883e+16,0.0,0.0,0.0,0.0,6536547748553412.0,0.0,0.0,0.9979000163293978,O3_dominant,0.0,0
31.0,4.0458246452200536e+16,0.0,0.0,0.0,0.0,6681697091902048.0,0.0,0.0,0.9978692017550802,O3_dominant,0.0,0
32.0,4.110360899083789e+16,0.0,0.0,0.0,0.0,6819749380067755.0,0.0,0.0,0.9978187589490889,O3_dominant,0.0,0
33.0,4.180897575230235e+16,0.0,0.0,0.0,0.0,6978936614443930.0,0.0,0.0,0.9978223731040415,O3_dominant,0.0,0
34.0,4.238092381154418e+16,0.0,0.0,0.0,0.0,7217455956651550.0,0.0,0.0,0.997736191948121,O3_dominant,0.0,0
35.0,4.295593642354445e+16,0.0,0.0,0.0,0.0,7298787733761688.0,0.0,0.0,0.9977379483771651,O3_dominant,0.0,0
36.0,4.358154139419483e+16,0.0,0.0,0.0,0.0,7444202301318174.0,0.0,0.0,0.9976741622589367,O3_dominant,0.0,0
37.0,4.426519835217919e+16,0.0,0.0,0.0,0.0,7633530422517265.0,0.0,0.0,0.9976240388413866,O3_dominant,0.0,0
38.0,4.479487332854927e+16,0.0,0.0,0.0,0.0,7865296568706073.0,0.0,0.0,0.9975730573919973,O3_dominant,0.0,0
39.0,4.534251449865119e+16,0.0,0.0,0.0,0.0,7972830879149764.0,0.0,0.0,0.9975142618083971,O3_dominant,0.0,0
40.0,4.584323498360161e+16,0.0,0.0,0.0,0.0,8173337293813086.0,0.0,0.0,0.9974571865837536,O3_dominant,0.0,0
41.0,4.633614655315685e+16,0.0,0.0,0.0,0.0,8302345070567510.0,0.0,0.0,0.997406120972156,O3_dominant,0.0,0
42.0,4.684647202170217e+16,0.0,0.0,0.0,0.0,8356282881437021.0,0.0,0.0,0.9973627073387162,O3_dominant,0.0,0
