Time,O3,NO,NO2,NO3,N2O4,N2O5,HONO,HONO2,R2,Plasma_Type,Humidity_Weight,N2O4_source,N2O4_equilibrium,H2O2,plasma_on,O3_mol_L,NO_mol_L,NO2_mol_L,NO3_mol_L,N2O4_mol_L,N2O5_mol_L,HONO_mol_L,HONO2_mol_L
0.0,162266216620583.9,0.0,110975197130151.45,5283021118236.999,3377202486.1318774,25205208266207.758,103094.48877505386,20164166716066.242,0.9865454600323894,O3_dominant,0.0,equilibrium,3377202486.1318774,32453243324.116783,False,2.6936191959016925e-07,0.0,1.842188272360514e-07,8.769815056273419e-09,5.606156126978916e-12,4.184064572190488e-08,1.711368513665894e-16,3.347251674866996e-08
1.0,1311157362466232.8,0.0,143357268684253.22,3250249507653.287,5635658725.697328,162715387023054.47,172037.46521633634,130172309790488.22,0.999028910401932,O3_dominant,0.0,equilibrium,5635658725.697328,262231472493.24655,False,2.176521221693946e-06,0.0,2.3797306601586033e-07,5.395414182704457e-09,9.355193484657564e-12,2.701075424582704e-07,2.855821922591183e-16,2.1608603425221042e-07
2.0,2247948541438050.8,0.0,162007817772809.94,1783695679657.0146,7197425766.652238,272565294187966.16,219712.8934247851,218052235570093.94,0.9993915227907746,O3_dominant,0.0,equilibrium,7197425766.652238,449589708287.61017,False,3.7315945787871642e-06,0.0,2.6893297750286447e-07,2.9609348282306444e-09,1.1947726772642715e-11,4.524583883520238e-07,3.6472340308514326e-16,3.6196671104635593e-07
3.0,3011055325904344.5,0.0,170764071795794.53,796502330205.8281,7996468920.634976,359455052182738.2,244104.95928619828,287564041990304.06,0.9994709117247036,O3_dominant,0.0,equilibrium,7996468920.634976,602211065180.8689,False,4.998351841001212e-06,0.0,2.834683591810189e-07,1.3221938681416747e-09,1.327413840825406e-11,5.966953866233453e-07,4.0521423241508914e-16,4.773563097039047e-07
4.0,3638893288233420.5,0.0,173463258153180.0,201812155257.37402,8251259559.858505,428084783429166.0,251882.84965649253,342467826995224.4,0.999500973703559,O3_dominant,0.0,equilibrium,8251259559.858505,727778657646.6841,False,6.0405628584674775e-06,0.0,2.8794900853427877e-07,3.3500817772724085e-10,1.3697090869365118e-11,7.106207404924155e-07,4.181255304297776e-16,5.684965928120725e-07
5.0,4169878000793596.0,0.0,173942604244939.94,0.0,8296925413.834075,483154610349046.3,253276.87263539893,386523688532522.6,0.99950907778516,O3_dominant,0.0,equilibrium,8296925413.834075,833975600158.7192,False,6.921997481317369e-06,0.0,2.8874472304660027e-07,0.0,1.3772896186964564e-11,8.020366531794168e-07,4.204396085747622e-16,6.416293229639875e-07
6.0,4678515744345316.0,0.0,174746431032813.12,0.0,8373786411.276722,531865206208081.25,255623.17709023374,425492165222096.94,0.9995178297755014,O3_dominant,0.0,equilibrium,8373786411.276722,935703148869.0632,False,7.766336135613225e-06,0.0,2.9007907551446975e-07,0.0,1.3900485442719357e-11,8.828962423054149e-07,4.24334473969788e-16,7.063169942686809e-07
7.0,5156838922378784.0,0.0,198675966027779.5,0.0,10824202706.16337,578545097983547.0,330426.0401832155,462836078717273.6,0.9995267148373668,O3_dominant,0.0,equilibrium,10824202706.16337,1031367784475.7568,False,8.560352611148782e-06,0.0,3.2980210360611397e-07,0.0,1.7968176492231195e-11,9.603848626526879e-07,5.485072267041378e-16,7.683078906706742e-07
8.0,5640405105739514.0,0.0,212740394170908.88,21584941169.077053,12410954091.644207,621568023634361.2,378864.15533059003,497254419286363.75,0.9995277888409826,O3_dominant,0.0,equilibrium,12410954091.644207,1128081021147.9028,False,9.363072475527594e-06,0.0,3.531490543237087e-07,3.583100234066791e-11,2.0602183792129382e-11,1.0318029192330396e-06,6.289144978487794e-16,8.254423360153638e-07
9.0,6136913382575738.0,0.0,229474423972059.12,0.0,14440220560.757427,670132794034079.8,440810.74872576515,536106235668086.06,0.9995364744522354,O3_dominant,0.0,equilibrium,14440220560.757427,1227382676515.1477,False,1.0187276215075725e-05,0.0,3.8092754379361814e-07,0.0,2.3970766130857328e-11,1.1124204380965723e-06,7.317458428847701e-16,8.899363512090228e-07
10.0,6623135788139646.0,0.0,245860679747495.78,0.0,16576139997.77249,711752255583462.8,506013.09395913593,569401804972795.6,0.9995283566423776,O3_dominant,0.0,equilibrium,16576139997.77249,1324627157627.9292,False,1.0994405408311812e-05,0.0,4.08128728380843e-07,0.0,2.7516392396302332e-11,1.1815087442685482e-06,8.399817359721656e-16,9.452069962548407e-07
11.0,7063642139091582.0,0.0,292057062110117.7,36523188528.02431,23390562956.377098,752072415353611.8,714034.2162043062,601657932996938.2,0.9995197255440714,O3_dominant,0.0,equilibrium,23390562956.377098,1412728427818.3164,False,1.1725645950892026e-05,0.0,4.848147231027953e-07,6.062849295652035e-11,3.882833450758598e-11,1.2484402094869955e-06,1.1852967988991483e-15,9.987521687749174e-07
12.0,7441550546561140.0,0.0,335340095617359.3,515236583387.4834,30837290899.880123,783276919862280.5,941357.4559374579,626621536831198.6,0.999537590529392,O3_dominant,0.0,equilibrium,30837290899.880123,1488310109312.228,False,1.2352973907291492e-05,0.0,5.566645587248164e-07,8.552927284232224e-10,5.1189902893801004e-11,1.3002396869713857e-06,1.5626533768561799e-15,1.0401917511397897e-06
