Time,O3,NO,NO2,NO3,N2O4,N2O5,HONO,HONO2,R2,Plasma_Type,Humidity_Weight
0.0,8575871748822.89,0.0,118688710523774.6,26417718455583.297,0.0,0.0,0.0,0.0,-0.0903593064611663,O3_dominant,0.0
1.0,311769928415228.25,0.0,122838933774434.39,20064472931263.08,0.0,27184812588272.805,0.0,0.0,0.9917526073755042,O3_dominant,0.0
2.0,968773493845798.0,0.0,127169410394408.89,18784035230055.695,0.0,112755242736031.14,0.0,0.0,0.9987803097957928,O3_dominant,0.0
3.0,1609586205204510.2,0.0,119904506647676.11,14363235608115.861,0.0,181417613307817.47,0.0,0.0,0.9992810594872492,O3_dominant,0.0
4.0,2073966966435832.2,0.0,115434856197857.8,12075631826725.943,0.0,255736470915792.25,0.0,0.0,0.9994003041851577,O3_dominant,0.0
5.0,2548334349686943.5,0.0,94442952318752.61,6998663766918.842,0.0,299262006423617.5,0.0,0.0,0.9994718261438007,O3_dominant,0.0
6.0,3040433089213798.5,0.0,125178285438852.1,12299993832084.72,0.0,362581052377731.2,0.0,0.0,0.9994754639479535,O3_dominant,0.0
7.0,3601757491158947.0,0.0,130872407939738.72,6408176272511.654,0.0,407131019072718.9,0.0,0.0,0.9995026562160139,O3_dominant,0.0
8.0,4129741858161676.5,0.0,100769903492850.72,10247271760441.582,0.0,464922417471026.4,0.0,0.0,0.9995148884249324,O3_dominant,0.0
9.0,4598704896510441.0,0.0,111858134783620.66,8144510265976.839,0.0,504713206842149.3,0.0,0.0,0.9995456824197324,O3_dominant,0.0
10.0,5037693884124413.0,0.0,136037133319092.73,6730399875967.445,0.0,539110462850955.8,0.0,0.0,0.9995409216514582,O3_dominant,0.0
11.0,5504618194040075.0,0.0,143959287510607.0,4607755672546.672,0.0,588678036526447.8,0.0,0.0,0.9995523485451896,O3_dominant,0.0
12.0,5905655147313245.0,0.0,121900055284036.56,1908304179998.138,0.0,606843149381704.6,0.0,0.0,0.9995601831947394,O3_dominant,0.0
13.0,6279702182954948.0,0.0,143594428025116.12,4644340299659.5205,0.0,650348904420538.6,0.0,0.0,0.9995581572222993,O3_dominant,0.0
14.0,6613958075970999.0,0.0,208337872299436.16,9999015611103.586,0.0,676525286018780.0,0.0,0.0,0.9995632481487983,O3_dominant,0.0
15.0,6890601258263003.0,0.0,147658955031604.6,4981523537988.08,0.0,674575240696434.6,0.0,0.0,0.9995716648831683,O3_dominant,0.0
