Time,O3,NO2,NO3,N2O5,HONO
0,0,0,0,0,0
2,1.06499E+15,1.51834E+13,1.13362E+12,2.98154E+12,83509130435
4,2.12997E+15,3.03669E+13,2.26724E+12,5.96308E+12,1.67018E+11
6,5.81846E+15,4.55503E+13,3.40087E+12,8.94462E+12,2.50527E+11
8,8.90222E+15,6.07337E+13,4.53449E+12,1.19262E+13,3.34037E+11
10,1.13E+16,7.59172E+13,5.66811E+12,1.49077E+13,4.17546E+11
12,1.32E+16,9.11006E+13,6.80173E+12,1.78892E+13,5.01055E+11
14,1.49E+16,1.06284E+14,7.93536E+12,2.08708E+13,5.84564E+11
16,1.65E+16,1.21467E+14,9.06898E+12,2.38523E+13,6.68073E+11
18,1.81E+16,1.36651E+14,1.02026E+13,2.68339E+13,7.51582E+11
20,1.95E+16,1.51834E+14,1.13362E+13,2.98154E+13,8.35091E+11
22,2.07E+16,1.67018E+14,1.24698E+13,3.27969E+13,9.186E+11
24,2.19E+16,1.82201E+14,1.36035E+13,3.57785E+13,1.00211E+12
26,2.31E+16,1.97385E+14,1.47371E+13,3.876E+13,1.08562E+12
28,2.42E+16,2.12568E+14,1.58707E+13,4.17416E+13,1.16913E+12
30,2.52E+16,2.27752E+14,1.70043E+13,4.47231E+13,1.25264E+12
32,2.61E+16,2.42935E+14,1.8138E+13,4.77046E+13,1.33615E+12
34,2.68E+16,2.58118E+14,1.92716E+13,5.06862E+13,1.41966E+12
36,2.74E+16,2.73302E+14,2.04052E+13,5.36677E+13,1.50316E+12
38,2.80E+16,2.88485E+14,2.15388E+13,5.66493E+13,1.58667E+12
40,2.86E+16,3.03669E+14,2.26724E+13,5.96308E+13,1.67018E+12
42,2.92E+16,3.18852E+14,2.38061E+13,6.26124E+13,1.75369E+12
44,2.98E+16,3.34036E+14,2.49397E+13,6.55939E+13,1.8372E+12
46,3.05E+16,3.49219E+14,2.60733E+13,6.85754E+13,1.92071E+12
48,3.11E+16,3.1763E+14,2.72069E+13,7.1557E+13,2.34367E+12
50,3.18E+16,3.33832E+14,2.83406E+13,7.45385E+13,2.76663E+12
52,3.24E+16,5.79926E+14,2.94742E+13,7.75201E+13,3.18959E+12
54,3.29E+16,5.34696E+14,3.06078E+13,8.05016E+13,2.94083E+12
56,3.34E+16,4.84317E+14,3.27293E+13,8.34831E+13,3.26572E+12
58,3.40E+16,6.90656E+14,3.64166E+13,8.64647E+13,3.59062E+12
60,3.45E+16,5.37609E+14,3.96879E+13,8.94462E+13,3.91551E+12
62,3.50E+16,8.17259E+14,3.47156E+13,9.24278E+13,4.24041E+12
64,3.55E+16,8.30055E+14,3.63242E+13,9.54093E+13,4.5653E+12
66,3.60E+16,7.47588E+14,3.84461E+13,9.83908E+13,4.11174E+12
68,3.66E+16,8.56873E+14,3.67486E+13,1.01372E+14,4.13416E+12
70,3.71E+16,8.07101E+14,4.14675E+13,1.04354E+14,4.15659E+12
72,3.76E+16,7.84248E+14,4.39578E+13,1.07335E+14,4.17901E+12
74,3.81E+16,9.44072E+14,4.89597E+13,1.10317E+14,4.20144E+12
76,3.86E+16,7.67975E+14,4.90704E+13,1.1257E+14,4.22386E+12
78,3.91E+16,1.0885E+15,5.07633E+13,1.1235E+14,5.98673E+12
80,3.95E+16,9.88468E+14,4.64033E+13,1.17656E+14,6.1567E+12
82,4.00E+16,1.10973E+15,5.46468E+13,1.27486E+14,6.32667E+12
84,4.05E+16,1.0342E+15,5.18617E+13,1.21759E+14,6.49664E+12
86,4.09E+16,1.19503E+15,4.43972E+13,1.26043E+14,6.66661E+12
88,4.14E+16,1.21308E+15,5.03498E+13,1.30327E+14,6.83658E+12
90,4.18E+16,1.27392E+15,4.98841E+13,1.26622E+14,7.00655E+12
92,4.21E+16,1.232E+15,6.11207E+13,1.4228E+14,7.28125E+12
94,4.25E+16,1.34532E+15,4.94917E+13,1.34105E+14,7.55596E+12
96,4.28E+16,1.42376E+15,6.18092E+13,1.59761E+14,7.83066E+12
98,4.32E+16,1.31441E+15,7.27629E+13,1.65355E+14,7.22924E+12
100,4.36E+16,1.50449E+15,5.94929E+13,1.52057E+14,7.47491E+12
102,4.39E+16,1.3686E+15,6.4885E+13,1.60757E+14,7.72058E+12
104,4.43E+16,1.57842E+15,6.36505E+13,1.55827E+14,7.96624E+12
106,4.46E+16,1.49308E+15,6.38758E+13,1.7264E+14,8.21191E+12
108,4.50E+16,1.40227E+15,6.11268E+13,1.75915E+14,7.71248E+12
110,4.53E+16,1.81265E+15,6.5471E+13,1.68507E+14,8.28649E+12
