time,pH,H+,NO2-,NO3-,H2O2,HONO_total,HONO2_total,H2O2_total,ONOOH_total,O3,NO,NO2_aq,N2O4,N2O5
0.0,7.000000234162578,9.999994608208844e-08,1.6866924505517118e-08,1.792456811541723e-08,3.0470244826302517e-08,1.6871161283113405e-08,1.792456819734827e-08,3.0470926970482214e-08,8.676981524670863e-17,6.882564082406549e-20,1e-30,9.520889915853647e-13,5.163456945427551e-20,1e-30
1.0,6.9775044841102805,1.0531628131196274e-07,3.37315026198879e-08,4.116809033793933e-08,6.094060391650468e-08,3.3740426037203024e-08,4.1168090536117696e-08,6.094189933841367e-08,6.0281809617475e-17,1.5334886756129012e-10,1e-30,9.623829126645157e-13,5.275700230386617e-20,1e-30
2.0,6.918370875758422,1.2067828349971766e-07,5.0581263931459834e-08,7.447018077675475e-08,9.141117069758863e-08,5.059659663722348e-08,7.447018118753688e-08,9.141286648007913e-08,3.421506327449525e-16,7.083999739438955e-10,1e-30,1.2818959334541924e-10,9.36042081031037e-16,1e-30
3.0,6.840947224805306,1.4422906071316073e-07,6.740071790000431e-08,1.1598840712098357e-07,1.2188193366190794e-07,6.742513630528094e-08,1.159884078856418e-07,1.2188382551130327e-07,7.45490492333441e-16,1.5254556791628089e-09,1e-30,2.360950882488128e-10,3.175173507100833e-15,1e-30
4.0,6.7603340153984375,1.7364648019172854e-07,8.416892697718177e-08,1.6342108399675402e-07,1.5235280881774427e-07,8.420563979973853e-08,1.6342108529385586e-07,1.5235477301219983e-07,1.2904982280623812e-15,2.495619058707355e-09,1e-30,3.097074643829814e-10,5.4638584536458444e-15,1e-30
5.0,6.686415276385616,2.058660461712171e-07,1.0086635549268406e-07,2.1372330129967482e-07,1.8282371986932467e-07,1.0091851470842517e-07,2.1372330331078843e-07,1.828257080132363e-07,1.9052547580591196e-15,3.526827264785107e-09,1e-30,3.7166453106992354e-10,7.868654266156755e-15,1e-30
6.0,6.6194279036817525,2.401994984951342e-07,1.1746141831953502e-07,2.6623826469619383e-07,2.1329464272808687e-07,1.1753228911981137e-07,2.662382676192864e-07,2.1329663068904602e-07,2.170287978250649e-15,4.5623523498659955e-09,1e-30,3.3292580655725165e-10,6.313814290556735e-15,1e-30
7.0,6.556566673305102,2.776088625602973e-07,1.3393639315898113e-07,3.219451793720095e-07,2.437655742012309e-07,1.3402978994384335e-07,3.2194518345722763e-07,2.437675399999406e-07,2.2180816971823904e-15,5.603198560017774e-09,1e-30,3.0154344239011015e-10,5.179592152267512e-15,1e-30
8.0,6.496811580616767,3.1855792908361837e-07,1.5027147955142448e-07,3.813271158229659e-07,2.742365112342498e-07,1.5039172398525288e-07,3.8132712137543446e-07,2.742384384789316e-07,2.1060758405104625e-15,6.668481289141149e-09,1e-30,2.7560992360942943e-10,4.326976914179815e-15,1e-30
9.0,6.439088558841317,3.638408362245153e-07,1.664473588091453e-07,4.451968398751859e-07,3.0470745135489267e-07,1.6659947952109402e-07,4.451968472791365e-07,3.04709326226937e-07,1.9266854381390777e-15,7.740364264950108e-09,1e-30,2.5382665250498316e-10,3.670021049079562e-15,1e-30
