Time,O3,NO,NO2,NO3,N2O4,N2O5,HONO,HONO2,R2,Plasma_Type,Humidity_Weight
0.0,175783909447271.9,0.0,87177021924201.61,4602687917263.439,0.0,21541706839403.48,0.0,0.0,0.9865454600323894,O3_dominant,0.0
1.0,1242784390465027.0,0.0,200838873978279.12,4623531718972.372,0.0,169618403710868.28,0.0,0.0,0.9990289104019319,O3_dominant,0.0
2.0,2269944647132987.0,0.0,136216726725817.8,1713395849688.2793,0.0,260743366406478.84,0.0,0.0,0.9993915227907746,O3_dominant,0.0
3.0,3100155636791449.5,0.0,147354395180892.03,0.0,0.0,375811881683933.44,0.0,0.0,0.9994709117247036,O3_dominant,0.0
4.0,3686175039461453.0,0.0,178130850466150.97,0.0,0.0,431423435259520.5,0.0,0.0,0.999500973703559,O3_dominant,0.0
5.0,4097867566848383.5,0.0,188017497580305.38,0.0,0.0,477907939158744.8,0.0,0.0,0.99950907778516,O3_dominant,0.0
6.0,4533059434878107.0,0.0,202653239510109.6,134202025529.47867,0.0,514425063480533.94,0.0,0.0,0.9995178297755014,O3_dominant,0.0
7.0,5077795394205923.0,0.0,134000257631119.52,0.0,0.0,566172776388371.9,0.0,0.0,0.9995267148373667,O3_dominant,0.0
8.0,5650537083404054.0,0.0,194092779356194.2,0.0,0.0,625626690442170.1,0.0,0.0,0.9995277888409826,O3_dominant,0.0
9.0,6170054941246722.0,0.0,277867748278834.4,0.0,0.0,674867806898391.9,0.0,0.0,0.9995364744522354,O3_dominant,0.0
10.0,6650427707814831.0,0.0,255975548451503.66,0.0,0.0,709273638809639.5,0.0,0.0,0.9995283566423775,O3_dominant,0.0
11.0,7077228865493543.0,0.0,300337406234179.0,0.0,0.0,752963688245885.5,0.0,0.0,0.9995197255440714,O3_dominant,0.0
12.0,7451045196723132.0,0.0,288691295980156.6,0.0,0.0,790619279690329.6,0.0,0.0,0.9995375905293921,O3_dominant,0.0
13.0,7777157591910134.0,0.0,350977333014196.0,0.0,0.0,814950585112606.9,0.0,0.0,0.9995335022893093,O3_dominant,0.0
14.0,8051397050730348.0,0.0,392170624319338.0,1181523810476.352,0.0,812631778857519.1,0.0,0.0,0.9995355382719557,O3_dominant,0.0
15.0,8297184370322749.0,0.0,530909034104935.5,8345580055000.671,0.0,859741872705160.1,0.0,0.0,0.9995398178340392,O3_dominant,0.0
16.0,8514501673742150.0,0.0,418448106001786.7,2961042982177.275,0.0,854457735435290.5,0.0,0.0,0.9995383906408223,O3_dominant,0.0
17.0,8726540364642339.0,0.0,487227373856283.25,7065098830812.874,0.0,875470995503924.4,0.0,0.0,0.9995485186002808,O3_dominant,0.0
18.0,8906186842117247.0,0.0,451170576015039.75,0.0,0.0,899971368786981.4,0.0,0.0,0.9995440398404921,O3_dominant,0.0
19.0,9083173042120756.0,0.0,556828008328647.75,4020629960837.76,0.0,915739654423415.0,0.0,0.0,0.9995511121761111,O3_dominant,0.0
20.0,9214855798447448.0,0.0,590503500889714.6,18045663610742.836,0.0,912498182283465.8,0.0,0.0,0.9995443799378332,O3_dominant,0.0
21.0,9355823176290970.0,0.0,639204992078164.4,15282452577629.264,0.0,923643955478618.5,0.0,0.0,0.9995439535779861,O3_dominant,0.0
22.0,9472121049933512.0,0.0,558194372271305.94,12433430581633.295,0.0,920015901044584.2,0.0,0.0,0.9995421461807639,O3_dominant,0.0
23.0,9613835668716752.0,0.0,544478669669265.25,9428354713087.69,0.0,958751659877915.2,0.0,0.0,0.9995491954323491,O3_dominant,0.0
24.0,9772232223734742.0,0.0,579167215795760.8,5526973739001.3545,0.0,954549574470297.2,0.0,0.0,0.9995462391653596,O3_dominant,0.0
25.0,9907006670283114.0,0.0,600314862979847.9,12836169106144.186,0.0,958738585480940.8,0.0,0.0,0.9995509911888042,O3_dominant,0.0
26.0,1.0028525861943096e+16,0.0,642534926909094.8,11147324263235.19,0.0,955597087019385.5,0.0,0.0,0.9995434460876269,O3_dominant,0.0
27.0,1.0148381827610178e+16,0.0,651784929531315.1,13687895221311.623,0.0,964542684222728.5,0.0,0.0,0.9995478681027962,O3_dominant,0.0
28.0,1.0267362424552464e+16,0.0,677460203787351.8,15371698874676.4,0.0,958834403141275.6,0.0,0.0,0.9995581025564524,O3_dominant,0.0
29.0,1.0381136169209058e+16,0.0,769608563932374.4,18806943520713.418,0.0,987707951412935.2,0.0,0.0,0.9995524757848094,O3_dominant,0.0
30.0,1.047759006765055e+16,0.0,708953733829025.1,22634335131216.355,0.0,993113693843662.6,0.0,0.0,0.9995433635667986,O3_dominant,0.0
31.0,1.0591897042719654e+16,0.0,656117664528822.9,13671141568231.88,0.0,977001180400829.9,0.0,0.0,0.9995372189851389,O3_dominant,0.0
32.0,1.0715126844996164e+16,0.0,613316305548544.2,9666037336106.158,0.0,999853612142850.6,0.0,0.0,0.9995492297149265,O3_dominant,0.0
33.0,1.0862042813537176e+16,0.0,683275320457935.8,15545891806896.83,0.0,996925140657346.9,0.0,0.0,0.9995473432298455,O3_dominant,0.0
34.0,1.0998135428704054e+16,0.0,647740418253191.9,15830686437777.598,0.0,1024853817089717.1,0.0,0.0,0.9995486427252885,O3_dominant,0.0
35.0,1.1122024120554204e+16,0.0,692358570090923.9,15930501169558.174,0.0,1039739646717016.5,0.0,0.0,0.9995549527665687,O3_dominant,0.0
36.0,1.1231738229564694e+16,0.0,656218326139079.4,10770591700756.988,0.0,1019592227379659.5,0.0,0.0,0.9995507576233822,O3_dominant,0.0
37.0,1.1342583374590206e+16,0.0,770775498260067.4,26112443084407.64,0.0,1056618345398311.5,0.0,0.0,0.9995452292543068,O3_dominant,0.0
38.0,1.1439025734489982e+16,0.0,754177636475015.0,23536856047342.71,0.0,1051228147338955.5,0.0,0.0,0.9995486690740357,O3_dominant,0.0
39.0,1.1528729754002622e+16,0.0,804643590098520.2,22337907100088.773,0.0,1049467729710831.5,0.0,0.0,0.9995440629069992,O3_dominant,0.0
40.0,1.1606372781036456e+16,0.0,723521649103507.1,20178253473890.246,0.0,1065190332819868.4,0.0,0.0,0.9995454285427355,O3_dominant,0.0
41.0,1.1696617527958884e+16,0.0,680313736699388.6,11289870207170.467,0.0,1052356713099427.0,0.0,0.0,0.9995471043123177,O3_dominant,0.0
42.0,1.1802195348076504e+16,0.0,733267282065734.5,22418746717486.527,0.0,1039114894106635.8,0.0,0.0,0.9995502859628539,O3_dominant,0.0
43.0,1.189737531545786e+16,0.0,795822188527479.5,18107425705308.004,0.0,1055977421101934.5,0.0,0.0,0.9995436249228628,O3_dominant,0.0
44.0,1.1966764963340026e+16,0.0,773293732413018.1,27600149131208.793,0.0,1071391194633354.1,0.0,0.0,0.9995495598155885,O3_dominant,0.0
45.0,1.2066311612350924e+16,0.0,792488203580246.8,22197683980878.586,0.0,1061071780529129.8,0.0,0.0,0.9995503692185381,O3_dominant,0.0
46.0,1.216430941972683e+16,0.0,816740310796743.4,20873851060661.703,0.0,1094408579868886.5,0.0,0.0,0.9995408679403799,O3_dominant,0.0
47.0,1.2275280384527464e+16,0.0,871572571999172.0,32059119708572.4,0.0,1102524492909906.6,0.0,0.0,0.9995440741315342,O3_dominant,0.0
48.0,1.2389229719115394e+16,0.0,891669841714712.5,31261086793657.918,0.0,1100819255896144.5,0.0,0.0,0.9995400088047025,O3_dominant,0.0
49.0,1.246657083859634e+16,0.0,857110582708050.5,26162079107280.1,0.0,1096887160504393.8,0.0,0.0,0.9995395218805357,O3_dominant,0.0
50.0,1.2538385146755218e+16,0.0,821122280168496.6,25831790964539.387,0.0,1101037838171173.2,0.0,0.0,0.9995505425843911,O3_dominant,0.0
51.0,1.2616611594778872e+16,0.0,808725491050503.4,22704335620369.29,0.0,1116628034782113.4,0.0,0.0,0.9995444224214717,O3_dominant,0.0
52.0,1.2679596689326852e+16,0.0,807498577416161.4,25391992342645.766,0.0,1113639200333712.9,0.0,0.0,0.9995490730773336,O3_dominant,0.0
53.0,1.274331480634586e+16,0.0,884498350984907.9,21366203098679.14,0.0,1129330583488018.0,0.0,0.0,0.9995405409152845,O3_dominant,0.0
54.0,1.2787125617159542e+16,0.0,887378680831202.0,27591943975880.258,0.0,1128733719595554.8,0.0,0.0,0.9995437412413021,O3_dominant,0.0
55.0,1.2830534869650752e+16,0.0,856871965946215.9,36595347699266.766,0.0,1119736888036478.5,0.0,0.0,0.9995464583461472,O3_dominant,0.0
56.0,1.2881396960472126e+16,0.0,886815544615928.2,28575723008649.81,0.0,1121501251055036.2,0.0,0.0,0.9995489420789367,O3_dominant,0.0
57.0,1.2942917046118562e+16,0.0,922919769677976.6,38763350489864.18,0.0,1128795438234297.5,0.0,0.0,0.9995454316978768,O3_dominant,0.0
58.0,1.300985945206983e+16,0.0,892747984411753.2,38618947801763.96,0.0,1115522641432532.8,0.0,0.0,0.9995382587462001,O3_dominant,0.0
59.0,1.3090837825056474e+16,0.0,880736189193176.6,33403021784774.25,0.0,1128560000731854.5,0.0,0.0,0.9995486535780882,O3_dominant,0.0
60.0,1.3155691532400552e+16,0.0,909152838317986.6,30349142298483.566,0.0,1134298931062667.5,0.0,0.0,0.9995396341690582,O3_dominant,0.0
61.0,1.321983704418138e+16,0.0,933446908374978.8,36386112049004.04,0.0,1135793989660319.0,0.0,0.0,0.9995431980217471,O3_dominant,0.0
62.0,1.3264550907141366e+16,0.0,895527990969224.1,31799849199314.406,0.0,1147731878910328.8,0.0,0.0,0.9995318708861028,O3_dominant,0.0
63.0,1.3321605638482424e+16,0.0,827188256203513.4,24579513847845.426,0.0,1161347386612414.0,0.0,0.0,0.9995392348859604,O3_dominant,0.0
64.0,1.3395028806597462e+16,0.0,958702273798820.5,37087758519385.305,0.0,1128065732265946.8,0.0,0.0,0.9995314881742683,O3_dominant,0.0
65.0,1.345234142455426e+16,0.0,889748437506402.6,41159802407163.33,0.0,1141017475083585.2,0.0,0.0,0.9995274995705206,O3_dominant,0.0
66.0,1.3523693157285568e+16,0.0,928180988062464.5,31516290924161.12,0.0,1142897807170290.2,0.0,0.0,0.9995297803038956,O3_dominant,0.0
67.0,1.3590137300815828e+16,0.0,902162037007715.8,28462230856748.703,0.0,1149203437588613.5,0.0,0.0,0.9995399600552909,O3_dominant,0.0
68.0,1.3657437948939284e+16,0.0,971076470791164.0,33890740225102.453,0.0,1178575678419820.5,0.0,0.0,0.9995428238873325,O3_dominant,0.0
69.0,1.370215129882564e+16,0.0,901407388408013.1,29566685061849.637,0.0,1173098550098547.0,0.0,0.0,0.9995362485364767,O3_dominant,0.0
70.0,1.3748839383587666e+16,0.0,959493866225116.4,32191734809551.91,0.0,1181517709207625.0,0.0,0.0,0.9995342802928164,O3_dominant,0.0
71.0,1.3774568638116426e+16,0.0,923135374756317.5,34419252159221.74,0.0,1152470933348215.8,0.0,0.0,0.999535194658193,O3_dominant,0.0
72.0,1.3808751795386414e+16,0.0,935425303605445.1,34062281778203.31,0.0,1164085197452672.8,0.0,0.0,0.9995302385146707,O3_dominant,0.0
73.0,1.3856522808147916e+16,0.0,964959787868527.1,41679379898165.87,0.0,1177931027731319.5,0.0,0.0,0.9995325409108503,O3_dominant,0.0
74.0,1.3898798205236034e+16,0.0,953698357165857.5,32641679947561.98,0.0,1174883912241122.8,0.0,0.0,0.9995278145216693,O3_dominant,0.0
75.0,1.3934557667591608e+16,0.0,884752058771501.9,30320129969315.723,0.0,1164911512375100.8,0.0,0.0,0.9995352309666032,O3_dominant,0.0
76.0,1.395848461547366e+16,0.0,869764792561912.0,29042524284462.754,0.0,1194070246945113.2,0.0,0.0,0.9995392538016004,O3_dominant,0.0
77.0,1.398406864471536e+16,0.0,915267613506360.6,36245430273793.72,0.0,1191166357048996.0,0.0,0.0,0.9995279629283097,O3_dominant,0.0
78.0,1.4021281938653304e+16,0.0,1010649708128406.5,38278168282740.586,0.0,1203261858814689.8,0.0,0.0,0.9995319511638123,O3_dominant,0.0
79.0,1.4035321949350268e+16,0.0,888226950459278.4,35169207527563.285,0.0,1175453032287377.2,0.0,0.0,0.9995290723857064,O3_dominant,0.0
80.0,1.4047495599661528e+16,0.0,945906178995261.4,38374946306310.57,0.0,1188377721102498.8,0.0,0.0,0.9995330231711539,O3_dominant,0.0
81.0,1.4060733479881416e+16,0.0,915798653146974.2,38568418995128.83,0.0,1157607321896167.0,0.0,0.0,0.9995290891355868,O3_dominant,0.0
82.0,1.408414662613316e+16,0.0,1022478786732403.0,43551903894151.85,0.0,1174525087555678.0,0.0,0.0,0.9995332900685233,O3_dominant,0.0
83.0,1.4088713762744742e+16,0.0,922793447997078.4,35068296494867.195,0.0,1196307550091315.8,0.0,0.0,0.9995368440629943,O3_dominant,0.0
84.0,1.4107403950752474e+16,0.0,940249451533583.9,34843191866585.12,0.0,1174739812791464.0,0.0,0.0,0.9995301266934956,O3_dominant,0.0
85.0,1.4114379444251382e+16,0.0,894004308380527.5,33733772295156.71,0.0,1177766998035592.2,0.0,0.0,0.9995331856477928,O3_dominant,0.0
86.0,1.4139003693284198e+16,0.0,959801290238511.4,33371626423160.746,0.0,1199899296776235.5,0.0,0.0,0.9995334985348309,O3_dominant,0.0
87.0,1.4164698488866194e+16,0.0,983951421055610.1,37707755464702.09,0.0,1189760874672684.5,0.0,0.0,0.9995300690208284,O3_dominant,0.0
88.0,1.4176717182467282e+16,0.0,999265539411875.0,42026231047799.516,0.0,1194175631704270.0,0.0,0.0,0.9995273730546157,O3_dominant,0.0
89.0,1.4185971806898042e+16,0.0,966467191269404.6,38485771664193.164,0.0,1179998117516281.8,0.0,0.0,0.9995353143460245,O3_dominant,0.0
90.0,1.4199445644180802e+16,0.0,1021792047075438.0,46749318984872.66,0.0,1180221320447401.2,0.0,0.0,0.9995235134044098,O3_dominant,0.0
91.0,1.4189968187489452e+16,0.0,933684063144685.1,33667672543990.12,0.0,1170866847001910.2,0.0,0.0,0.9995330382152915,O3_dominant,0.0
92.0,1.4210913585132976e+16,0.0,1058829388659742.6,47607271323493.47,0.0,1180462090038807.5,0.0,0.0,0.9995278548638676,O3_dominant,0.0
93.0,1.4219633331670706e+16,0.0,949700923716443.2,36056127378109.68,0.0,1185547779661087.2,0.0,0.0,0.9995236761461987,O3_dominant,0.0
94.0,1.4241093776552372e+16,0.0,1035517143661785.2,42479682848066.64,0.0,1187105393295887.5,0.0,0.0,0.9995287350538632,O3_dominant,0.0
95.0,1.4240515050501356e+16,0.0,942248764617075.0,38840262717029.664,0.0,1196277679490286.8,0.0,0.0,0.9995308951640999,O3_dominant,0.0
96.0,1.4248000079146238e+16,0.0,950709224346169.8,40903657294093.04,0.0,1181810549100550.8,0.0,0.0,0.9995401539566585,O3_dominant,0.0
97.0,1.4254791711719832e+16,0.0,1001825448100782.2,43742020846972.91,0.0,1211168660233748.2,0.0,0.0,0.9995328857316146,O3_dominant,0.0
98.0,1.4267148841790216e+16,0.0,1067832476505887.4,46758844945626.49,0.0,1190834399242197.0,0.0,0.0,0.9995303463785118,O3_dominant,0.0
99.0,1.4259693509982352e+16,0.0,978189092894909.1,46857777868130.125,0.0,1180010831763937.5,0.0,0.0,0.9995312774792126,O3_dominant,0.0
100.0,1.4269737504529974e+16,0.0,1017508386243399.4,40496539013775.43,0.0,1193013717524023.5,0.0,0.0,0.9995345251506977,O3_dominant,0.0
101.0,1.427475683422107e+16,0.0,943872837760017.2,47645524946926.79,0.0,1188952515661858.5,0.0,0.0,0.9995353104124975,O3_dominant,0.0
102.0,1.428374278072871e+16,0.0,1040012967257751.8,47107396004754.37,0.0,1202578298542870.0,0.0,0.0,0.9995275963611561,O3_dominant,0.0
103.0,1.4271421232003282e+16,0.0,952054233167570.0,41582588355514.75,0.0,1194300094352694.5,0.0,0.0,0.9995311666509307,O3_dominant,0.0
104.0,1.4272088185761136e+16,0.0,965065295039299.8,34723768277834.973,0.0,1193127136663811.0,0.0,0.0,0.999529397570026,O3_dominant,0.0
105.0,1.4268783337147846e+16,0.0,964168722351231.6,39478326379622.89,0.0,1188129771837630.8,0.0,0.0,0.9995257597564194,O3_dominant,0.0
106.0,1.4273052270730518e+16,0.0,1040760812491844.8,46834951937625.78,0.0,1211876709306884.5,0.0,0.0,0.9995340809186479,O3_dominant,0.0
