Index,Time,Initial_pH,Final_pH,NO_nM,NO2_nM,NO2-_uM,NO3-_uM,H+_uM,OH-_nM,OH_pM,ONOO-_nM,HONO_uM,HONO2_uM,O3_gas,NO2_gas,N2O4_gas,HONO_gas,HONO2_gas,H2O2_gas,N2O4_source,plasma_on,Aq_H_M,Aq_H2_M,Aq_O_M,Aq_O2_M,Aq_O3_M,Aq_N2_M,Aq_NO_M,Aq_NO2_M,Aq_NO3_M,Aq_N2O_M,Aq_N2O3_M,Aq_N2O4_M,Aq_N2O5_M,Aq_OH_M,Aq_HO2_M,Aq_HO3_M,Aq_H2O2_M,Aq_HONO_M,Aq_HONO2_M,Aq_ONOOH_M,Aq_O2NOOH_M,Aq_H+_M,Aq_OH-_M,Aq_O-_M,Aq_O2-_M,Aq_O3-_M,Aq_HO2-_M,Aq_NO2-_M,Aq_NO3-_M,Aq_ONOO-_M,Aq_O2NOO-_M
0,0.0,6.5,6.222434389439822,5.972976722483361e-07,27.10935268839227,0.07327985388374486,0.20967717227485524,0.5991914539624117,16.68915658656408,0.00013442719250173645,0.0001803963347063969,0.0001102885196248323,1e-14,162266216620583.9,110975197130151.45,3377202486.1318774,103094.48877505386,20164166716066.242,32453243324.116783,equilibrium,False,1e-20,1e-20,1e-20,0.0002500007798908445,2.6867855864584013e-07,0.0005,5.972976722483361e-16,2.710935268839227e-08,3.28477997525468e-16,1e-20,1e-20,4.195235574922082e-11,1e-20,1.3442719250173644e-16,1e-20,5.023169064747111e-13,5.390900969801599e-11,1.102885196248323e-10,1e-20,3.9923102182131433e-13,1.9686490266940436e-12,5.991914539624117e-07,1.668915658656408e-08,8.593026680454126e-15,3.445851136905953e-14,2.3473063734033075e-12,8.848074759322611e-16,7.327985388374487e-08,2.0967717227485525e-07,1.8039633470639688e-13,4.140891621703293e-12
1,1.0,6.5,5.89021099633251,2.9427638775534503e-05,28.25223059704396,0.09336474011562529,0.8780253418600417,1.2876238243959635,7.766243378466902,2.134037776235278e-05,9.033412102072632e-05,0.00030197224311876374,1e-14,1311157362466232.8,143357268684253.22,5635658725.697328,172037.46521633634,130172309790488.22,262231472493.24655,equilibrium,False,1e-20,1e-20,1e-20,0.00025000856124634185,2.168736735708825e-06,0.0005,2.9427638775534504e-14,2.825223059704396e-08,4.603383916633563e-18,1e-20,1e-20,4.55682945779751e-11,1e-20,2.134037776235278e-17,4.0100647628237066e-15,1.918460032880789e-12,4.355225044647761e-10,3.019722431187637e-10,1e-20,4.128524157964562e-13,1.8672332193840444e-12,1.2876238243959635e-06,7.766243378466902e-09,1.511210059793392e-14,4.747178911746766e-14,4.1717364242408196e-12,2.4058107731669667e-15,9.336474011562529e-08,8.780253418600417e-07,9.033412102072633e-14,1.841264595469706e-12
2,2.0,6.5,5.707493207920513,2.7958717426742943e-08,28.745187317712386,0.10154192208977549,1.543357000827347,1.9611318460458522,5.099096228630683,1.266471962499585e-05,5.928051007033399e-05,0.0005002097750470703,1e-14,2247948541438050.8,162007817772809.94,7197425766.652238,219712.8934247851,218052235570093.94,449589708287.61017,equilibrium,False,1e-20,1e-20,1e-20,0.00025001667863467606,3.7162454564206495e-06,0.0005,2.795871742674294e-17,2.8745187317712387e-08,3.877563391315467e-19,1e-20,1e-20,4.7174344760894925e-11,1e-20,1.2664719624995849e-17,5.276631906064061e-15,2.8028188704584332e-12,7.466564344386223e-10,5.002097750470703e-10,1e-20,4.134970854573703e-13,1.938883264812357e-12,1.9611318460458523e-06,5.099096228630683e-09,1.4373225879707944e-14,4.279652813722808e-14,4.001598634116926e-12,2.2906944383088046e-15,1.0154192208977549e-07,1.543357000827347e-06,5.928051007033399e-14,1.2576874285313756e-12
3,3.0,6.5,5.64919198681223,2.5529827884395645e-08,28.919220335839128,0.10284287196164417,1.823814616088664,2.24289019915932,4.458533014171954,9.382244659486495e-06,5.1117874563099666e-05,0.0005794049671684142,1e-14,3011055325904344.5,170764071795794.53,7996468920.634976,244104.95928619828,287564041990304.06,602211065180.8689,equilibrium,False,1e-20,1e-20,1e-20,0.00025002332880881236,4.97680221150687e-06,0.0005,2.5529827884395645e-17,2.8919220335839127e-08,7.195470906673345e-20,1e-20,1e-20,4.774779322718068e-11,1e-20,9.382244659486494e-18,5.255570496023489e-15,3.1364270902931104e-12,1.0001059639812498e-09,5.794049671684142e-10,1e-20,4.0778937973062595e-13,2.0631606709670085e-12,2.24289019915932e-06,4.458533014171954e-09,1.3967248168550037e-14,4.172172973654328e-14,3.9153525131460286e-12,2.5488879380435317e-15,1.0284287196164417e-07,1.823814616088664e-06,5.1117874563099666e-14,1.1703614164835054e-12
4,4.0,6.5,5.5908517429663895,2.335863580395235e-08,28.975294825295236,0.10062526551059085,2.1485019244112915,2.565359635253098,3.898088931735396,7.530028110398225e-06,4.3264003650237364e-05,0.0006484183596970677,1e-14,3638893288233420.5,173463258153180.0,8251259559.858505,251882.84965649253,342467826995224.4,727778657646.6841,equilibrium,False,1e-20,1e-20,1e-20,0.00025002820416657103,6.014507066215137e-06,0.0005,2.335863580395235e-17,2.8975294825295237e-08,1.5031792027461516e-20,1e-20,1e-20,4.7933352009643316e-11,1e-20,7.530028110398225e-18,3.758617558169747e-15,3.5199383515933073e-12,1.2086256060896162e-09,6.484183596970677e-10,1e-20,3.942158661039923e-13,2.0122246623811125e-12,2.565359635253098e-06,3.898088931735396e-09,1.3628127992265025e-14,4.120283831889776e-14,3.841789824914076e-12,2.560975473413647e-15,1.0062526551059085e-07,2.1485019244112917e-06,4.3264003650237365e-14,9.990145859005241e-13
5,5.0,6.5,5.549470689826157,2.2064133931459783e-08,28.98943489179366,0.09749417508675061,2.408093605280538,2.8218200189537233,3.5438121258257422,6.445014833934417e-06,3.849165748738673e-05,0.0006909763457125118,1e-14,4169878000793596.0,173942604244939.94,8296925413.834075,253276.87263539893,386523688532522.6,833975600158.7192,equilibrium,False,1e-20,1e-20,1e-20,0.0002500318673451318,6.892590623341429e-06,0.0005,2.2064133931459782e-17,2.898943489179366e-08,1e-20,1e-20,1e-20,4.798018914441542e-11,1e-20,6.4450148339344175e-18,2.63931476554366e-15,3.791605577890924e-12,1.3849777091765293e-09,6.909763457125119e-10,1e-20,3.858422165359064e-13,1.9692962249974005e-12,2.8218200189537233e-06,3.5438121258257424e-09,1.328296088977315e-14,4.0522502605931374e-14,3.762212226682078e-12,2.576168257170952e-15,9.749417508675061e-08,2.408093605280538e-06,3.849165748738673e-14,8.894303522475337e-13
6,6.0,6.5,5.515747710991069,2.083441000170136e-08,29.00003200758004,0.09468558882924921,2.6386782274625387,3.049666077748398,3.2790475236159558,5.464244131414221e-06,3.40061661556364e-05,0.0007253309070829079,1e-14,4678515744345316.0,174746431032813.12,8373786411.276722,255623.17709023374,425492165222096.94,935703148869.0632,equilibrium,False,1e-20,1e-20,1e-20,0.0002500353190147306,7.733776461446587e-06,0.0005,2.083441000170136e-17,2.900003200758004e-08,1e-20,1e-20,1e-20,4.8015319986365245e-11,1e-20,5.464244131414221e-18,3.7847407208625365e-15,4.124116481899984e-12,1.4837204068284835e-09,7.253309070829079e-10,1e-20,3.6644088056158005e-13,1.715114137705661e-12,3.0496660777483984e-06,3.279047523615956e-09,1.3308233457300665e-14,4.023814733905873e-14,3.7863821816522514e-12,7.019006217891592e-11,9.468558882924922e-08,2.6386782274625386e-06,3.40061661556364e-14,7.185677899885206e-13
7,7.0,6.5,5.480663258803744,1.9967924010562626e-08,29.37229672540699,0.10500942634661359,2.8850138496461164,3.3062580074104013,3.0245673440147747,5.009568090928222e-06,3.151596260621619e-05,0.0008720974960113087,1e-14,5156838922378784.0,198675966027779.5,10824202706.16337,330426.0401832155,462836078717273.6,1031367784475.7568,equilibrium,False,1e-20,1e-20,1e-20,0.00025004454105017715,8.518849836094014e-06,0.0005,1.9967924010562626e-17,2.937229672540699e-08,1e-20,1e-20,1e-20,4.925739707681283e-11,1e-20,5.009568090928222e-18,3.758229485510543e-15,4.267793543623613e-12,1.7099100231918685e-09,8.720974960113087e-10,1e-20,3.698015892305901e-13,1.7756024376261788e-12,3.3062580074104013e-06,3.0245673440147746e-09,1.2649696609510762e-14,3.8222640028950064e-14,3.6141982988849907e-12,2.8607155477189644e-12,1.0500942634661359e-07,2.8850138496461164e-06,3.1515962606216195e-14,6.856431086127777e-13
8,8.0,6.5,5.452345672153263,1.935205698367766e-08,29.563668484063605,0.10916249435683674,3.1036274681967115,3.5290216918430874,2.833646509860112,4.601608158010144e-06,2.9510782013306318e-05,0.0009551338004018822,1e-14,5640405105739514.0,212740394170908.88,12410954091.644207,378864.15533059003,497254419286363.75,1128081021147.9028,equilibrium,False,1e-20,1e-20,1e-20,0.00025005187889634713,9.31451394195803e-06,0.0005,1.935205698367766e-17,2.9563668484063606e-08,1e-20,1e-20,1e-20,4.9902104511633623e-11,1e-20,4.6016081580101445e-18,3.698032273824188e-15,4.360109661600227e-12,1.873370549752102e-09,9.551338004018821e-10,1e-20,3.710884898011986e-13,1.9967248074280907e-12,3.5290216918430875e-06,2.8336465098601118e-09,1.205632570112986e-14,3.6424923186529034e-14,3.459297505462429e-12,2.571461834835603e-15,1.0916249435683674e-07,3.1036274681967115e-06,2.951078201330632e-14,7.209570627887081e-13
9,9.0,6.5,5.422247318401747,1.886451711141936e-08,29.75106316640221,0.11416436965543564,3.3518754109539977,3.782271337406706,2.6439139627996524,4.315323417500254e-06,2.7876895773778357e-05,0.0010846341668204103,1e-14,6136913382575738.0,229474423972059.12,14440220560.757427,440810.74872576515,536106235668086.06,1227382676515.1477,equilibrium,False,1e-20,1e-20,1e-20,0.0002500605757044395,1.0130310268289827e-05,0.0005,1.886451711141936e-17,2.975106316640221e-08,1e-20,1e-20,1e-20,5.053748346738845e-11,1e-20,4.315323417500254e-18,3.605733457362637e-15,4.408981817243112e-12,2.038270266447442e-09,1.0846341668204103e-09,1e-20,3.7819532586788045e-13,2.0299894389472635e-12,3.7822713374067057e-06,2.6439139627996524e-09,1.1325973929308787e-14,3.420048377854757e-14,3.2638485276697517e-12,2.548010711106509e-15,1.1416436965543563e-07,3.3518754109539975e-06,2.7876895773778356e-14,6.834371705864499e-13
