Time,O3,NO2,NO3,N2O5,HONO
0,0,0,0,0,0
2,6.2067E+14,1.34478E+13,1.00258E+12,2.78245E+12,1.15742E+11
4,1.24134E+15,2.68957E+13,2.00515E+12,5.56491E+12,2.31483E+11
6,5.16743E+15,4.03435E+13,3.00773E+12,8.34736E+12,3.47225E+11
8,7.61163E+15,5.37914E+13,4.0103E+12,1.11298E+13,4.62967E+11
10,9.41339E+15,6.72392E+13,5.01288E+12,1.39123E+13,5.78708E+11
12,1.22E+16,8.06871E+13,6.01545E+12,1.66947E+13,6.9445E+11
14,1.50E+16,9.41349E+13,7.01803E+12,1.94772E+13,8.10192E+11
16,1.74E+16,1.07583E+14,8.02061E+12,2.22596E+13,9.25933E+11
18,1.94E+16,1.21031E+14,9.02318E+12,2.50421E+13,1.04168E+12
20,2.12E+16,1.34478E+14,1.00258E+13,2.78245E+13,1.15742E+12
22,2.29E+16,1.47926E+14,1.10283E+13,3.0607E+13,1.27316E+12
24,2.44E+16,1.61374E+14,1.20309E+13,3.33895E+13,1.3889E+12
26,2.60E+16,1.74822E+14,1.30335E+13,3.61719E+13,1.50464E+12
28,2.75E+16,1.8827E+14,1.40361E+13,3.89544E+13,1.62038E+12
30,2.89E+16,2.01718E+14,1.50386E+13,4.17368E+13,1.73613E+12
32,3.01E+16,2.15166E+14,1.60412E+13,4.45193E+13,1.85187E+12
34,3.14E+16,2.28613E+14,1.70438E+13,4.73017E+13,1.96761E+12
36,3.25E+16,2.42061E+14,1.80464E+13,5.00842E+13,2.08335E+12
38,3.35E+16,2.55509E+14,1.90489E+13,5.28666E+13,2.19909E+12
40,3.45E+16,2.68957E+14,2.00515E+13,5.56491E+13,2.31483E+12
42,3.55E+16,2.82405E+14,2.10541E+13,5.84315E+13,2.43058E+12
44,3.64E+16,2.95853E+14,2.20567E+13,6.1214E+13,2.54632E+12
46,3.72E+16,3.093E+14,2.30592E+13,6.39965E+13,2.66206E+12
48,3.81E+16,3.22748E+14,2.40618E+13,6.67789E+13,2.7778E+12
50,3.89E+16,3.36196E+14,2.50644E+13,6.95614E+13,2.89354E+12
52,3.97E+16,3.49644E+14,2.6067E+13,7.23438E+13,3.00928E+12
54,4.04E+16,3.86679E+14,2.70695E+13,7.51263E+13,3.12503E+12
56,4.11E+16,5.56524E+14,2.80721E+13,7.79087E+13,3.24077E+12
58,4.18E+16,6.38351E+14,2.90747E+13,8.06912E+13,3.35651E+12
60,4.25E+16,6.31319E+14,3.00773E+13,8.34736E+13,3.47225E+12
62,4.32E+16,7.46853E+14,3.10798E+13,8.62561E+13,3.77091E+12
64,4.38E+16,7.07716E+14,3.20824E+13,8.90385E+13,4.06958E+12
66,4.44E+16,6.19162E+14,3.3085E+13,9.1821E+13,4.36824E+12
68,4.51E+16,7.07544E+14,2.86417E+13,9.46035E+13,4.66691E+12
70,4.56E+16,8.89134E+14,3.2844E+13,9.73859E+13,4.96557E+12
72,4.62E+16,8.58215E+14,3.63912E+13,1.00168E+14,5.26424E+12
74,4.67E+16,1.01144E+15,3.66096E+13,1.02951E+14,5.5629E+12
76,4.72E+16,1.02801E+15,3.72576E+13,1.05733E+14,5.65404E+12
78,4.78E+16,1.09222E+15,3.44376E+13,1.08516E+14,5.79581E+12
80,4.83E+16,9.22629E+14,4.33543E+13,1.11298E+14,5.93758E+12
82,4.88E+16,1.10534E+15,4.81941E+13,1.14081E+14,6.07935E+12
84,4.93E+16,1.1076E+15,5.03893E+13,1.16863E+14,6.22973E+12
86,4.97E+16,1.20021E+15,4.98841E+13,1.19646E+14,6.38011E+12
88,5.02E+16,1.23005E+15,4.70911E+13,1.22428E+14,6.53049E+12
90,5.06E+16,1.2147E+15,4.44872E+13,1.28682E+14,6.68087E+12
92,5.13E+16,1.30345E+15,5.56572E+13,1.38535E+14,7.16897E+12
94,5.18E+16,1.58592E+15,5.15408E+13,1.21903E+14,7.44074E+12
96,5.24E+16,1.44305E+15,5.06639E+13,1.28836E+14,7.71251E+12
98,5.30E+16,1.35236E+15,5.90116E+13,1.38545E+14,7.98428E+12
100,5.37E+16,1.39059E+15,5.30135E+13,1.50782E+14,8.25606E+12
102,5.43E+16,1.57247E+15,5.80694E+13,1.54744E+14,8.52783E+12
104,5.49E+16,1.63017E+15,6.26003E+13,1.47715E+14,8.7996E+12
106,5.53E+16,1.56342E+15,5.98203E+13,1.56296E+14,9.07137E+12
108,5.59E+16,1.69875E+15,5.74015E+13,1.61521E+14,9.34314E+12
110,5.64E+16,1.7801E+15,5.98162E+13,1.4842E+14,9.79057E+12
112,5.70E+16,1.79026E+15,6.07476E+13,1.67495E+14,9.84641E+12
114,5.74E+16,1.67134E+15,6.73077E+13,1.66044E+14,1.00782E+13
116,5.78E+16,1.87453E+15,6.44819E+13,1.64606E+14,1.03099E+13
118,5.84E+16,1.72785E+15,6.11365E+13,1.78685E+14,1.03253E+13
120,5.88E+16,1.88013E+15,6.72428E+13,1.8244E+14,1.03407E+13
122,5.92E+16,2.0453E+15,6.77179E+13,1.81545E+14,1.05514E+13
124,5.97E+16,1.97504E+15,7.28285E+13,1.95107E+14,1.07622E+13
126,6.01E+16,1.99506E+15,6.47297E+13,1.9006E+14,1.09729E+13
128,6.06E+16,2.05825E+15,8.2392E+13,2.04793E+14,1.11296E+13
130,6.10E+16,1.89235E+15,7.16357E+13,2.01094E+14,1.12862E+13
132,6.14E+16,2.09904E+15,8.16025E+13,1.95554E+14,1.14429E+13
134,6.20E+16,1.99271E+15,7.31291E+13,2.04981E+14,1.15996E+13
136,6.25E+16,2.10967E+15,7.34849E+13,2.09928E+14,1.17562E+13
138,6.28E+16,2.05626E+15,7.55533E+13,2.08914E+14,1.19129E+13
140,6.33E+16,2.07528E+15,7.80802E+13,2.0729E+14,1.20695E+13
142,6.35E+16,2.13125E+15,7.59584E+13,2.06407E+14,1.22262E+13
144,6.40E+16,2.28697E+15,7.75212E+13,2.24631E+14,1.23829E+13
146,6.44E+16,2.23227E+15,8.19601E+13,2.33168E+14,1.25395E+13
148,6.50E+16,2.3084E+15,8.51335E+13,2.25699E+14,1.26962E+13
150,6.53E+16,2.42976E+15,8.63961E+13,2.42839E+14,1.25783E+13
152,6.56E+16,2.33607E+15,8.70993E+13,2.37446E+14,1.24604E+13
154,6.62E+16,2.2441E+15,7.82642E+13,2.36077E+14,1.23425E+13
156,6.65E+16,2.27565E+15,8.36344E+13,2.3833E+14,1.2516E+13
158,6.68E+16,2.41667E+15,8.51133E+13,2.43715E+14,1.2772E+13
160,6.72E+16,2.36871E+15,8.41632E+13,2.41532E+14,1.30279E+13
162,6.76E+16,2.50125E+15,8.02427E+13,2.39563E+14,1.34614E+13
164,6.78E+16,2.68684E+15,1.02477E+14,2.62512E+14,1.38949E+13
166,6.81E+16,2.60516E+15,9.20424E+13,2.60319E+14,1.43284E+13
168,6.84E+16,2.60484E+15,9.15275E+13,2.67148E+14,1.44341E+13
170,6.87E+16,2.78945E+15,9.54445E+13,2.78987E+14,1.45398E+13
172,6.91E+16,2.70565E+15,9.52159E+13,2.81862E+14,1.46456E+13
174,6.94E+16,2.60099E+15,9.68284E+13,2.70655E+14,1.47513E+13
176,6.97E+16,2.73733E+15,1.03221E+14,2.83303E+14,1.4857E+13
178,7.00E+16,2.70683E+15,9.8688E+13,2.80566E+14,1.49627E+13
180,7.05E+16,2.78171E+15,1.00548E+14,2.87207E+14,1.50684E+13
182,7.07E+16,2.7471E+15,1.0128E+14,2.84185E+14,1.51741E+13
184,7.12E+16,3.01649E+15,9.81239E+13,2.95385E+14,1.52799E+13
186,7.15E+16,2.85759E+15,1.03421E+14,2.94951E+14,1.53856E+13
188,7.18E+16,2.98884E+15,1.11828E+14,2.8686E+14,1.54913E+13
190,7.20E+16,2.89716E+15,1.06938E+14,2.93021E+14,1.5597E+13
192,7.23E+16,2.9577E+15,9.94637E+13,2.85732E+14,1.57027E+13
194,7.27E+16,2.90659E+15,1.13143E+14,3.13948E+14,1.58084E+13
196,7.28E+16,2.9442E+15,1.08204E+14,3.13827E+14,1.59142E+13
198,7.32E+16,3.03336E+15,1.07243E+14,3.20657E+14,1.60199E+13
200,7.34E+16,3.05462E+15,1.10026E+14,3.05E+14,1.61256E+13
202,7.36E+16,3.01869E+15,1.09596E+14,3.19304E+14,1.62313E+13
204,7.39E+16,3.01869E+15,1.12757E+14,3.14926E+14,1.6337E+13
206,7.42E+16,3.09366E+15,1.14084E+14,3.21869E+14,1.64427E+13
208,7.45E+16,3.08543E+15,1.11455E+14,3.23427E+14,1.65485E+13
210,7.47E+16,3.0337E+15,1.13637E+14,3.34268E+14,1.66542E+13
212,7.51E+16,3.04726E+15,1.10404E+14,3.22561E+14,1.67599E+13
214,7.53E+16,2.89098E+15,1.10608E+14,3.21499E+14,1.59004E+13
216,7.56E+16,3.13145E+15,1.09723E+14,3.2796E+14,1.63282E+13
218,7.61E+16,3.15265E+15,1.11915E+14,3.18345E+14,1.67561E+13
220,7.63E+16,3.06559E+15,1.12961E+14,3.3347E+14,1.71839E+13
222,7.65E+16,3.29072E+15,1.16121E+14,3.41538E+14,1.76118E+13
224,7.68E+16,3.27992E+15,1.20096E+14,3.54069E+14,1.80396E+13
226,7.70E+16,3.36173E+15,1.19117E+14,3.3485E+14,1.80902E+13
228,7.72E+16,3.29833E+15,1.16388E+14,3.41707E+14,1.81408E+13
230,7.74E+16,3.43817E+15,1.18422E+14,3.35805E+14,1.81888E+13
232,7.76E+16,3.35705E+15,1.27051E+14,3.55935E+14,1.82369E+13
234,7.78E+16,3.304E+15,1.18676E+14,3.39746E+14,1.82849E+13
236,7.82E+16,3.2499E+15,1.16839E+14,3.31784E+14,1.8333E+13
238,7.84E+16,3.37323E+15,1.22705E+14,3.50557E+14,1.8381E+13
240,7.86E+16,3.41419E+15,1.22611E+14,3.50448E+14,1.84291E+13
242,7.89E+16,3.60639E+15,1.24471E+14,3.55584E+14,1.84771E+13
244,7.91E+16,3.4024E+15,1.1895E+14,3.53405E+14,1.85252E+13
246,7.93E+16,3.42495E+15,1.23256E+14,3.59089E+14,1.85732E+13
248,7.95E+16,3.36336E+15,1.23684E+14,3.60752E+14,1.86213E+13
250,7.96E+16,3.52948E+15,1.32288E+14,3.71198E+14,1.86693E+13
252,7.98E+16,3.48681E+15,1.32008E+14,3.64834E+14,1.87174E+13
254,7.99E+16,3.37757E+15,1.21103E+14,3.62533E+14,1.87654E+13
256,8.05E+16,3.44672E+15,1.30629E+14,3.76684E+14,1.88135E+13
258,8.07E+16,3.5196E+15,1.3089E+14,3.67818E+14,1.88615E+13
260,8.08E+16,3.57196E+15,1.30742E+14,3.8333E+14,1.89096E+13
262,8.09E+16,3.67148E+15,1.26367E+14,3.84453E+14,1.89576E+13
264,8.11E+16,3.66881E+15,1.28605E+14,3.77126E+14,1.90057E+13
266,8.13E+16,3.47716E+15,1.30013E+14,3.81578E+14,1.90537E+13
268,8.14E+16,3.74014E+15,1.29731E+14,3.89207E+14,1.91018E+13
270,8.16E+16,3.48178E+15,1.38755E+14,3.98416E+14,1.91498E+13
272,8.17E+16,3.6083E+15,1.37607E+14,3.95905E+14,1.98456E+13
274,8.19E+16,3.70979E+15,1.32309E+14,3.86734E+14,1.99323E+13
276,8.23E+16,3.77315E+15,1.33218E+14,3.94601E+14,2.00191E+13
278,8.26E+16,3.74096E+15,1.42889E+14,3.92255E+14,2.01058E+13
280,8.28E+16,3.82181E+15,1.45207E+14,4.11342E+14,2.01925E+13
282,8.29E+16,3.72024E+15,1.41448E+14,3.97866E+14,2.02793E+13
284,8.30E+16,3.96183E+15,1.44552E+14,3.96807E+14,2.0366E+13
286,8.32E+16,3.79138E+15,1.4186E+14,4.17425E+14,2.04527E+13
288,8.32E+16,3.77765E+15,1.39207E+14,4.1314E+14,2.05395E+13
290,8.34E+16,3.94976E+15,1.42316E+14,4.17502E+14,2.06262E+13
292,8.35E+16,3.80193E+15,1.4249E+14,4.08772E+14,2.07129E+13
294,8.37E+16,3.8888E+15,1.33957E+14,3.93408E+14,2.07997E+13
296,8.40E+16,3.79753E+15,1.3435E+14,3.96853E+14,2.08864E+13
298,8.42E+16,4.00846E+15,1.38405E+14,4.07255E+14,2.08864E+13
300,8.46E+16,3.89385E+15,1.36834E+14,4.28911E+14,2.08864E+13
302,8.47E+16,3.89286E+15,1.39387E+14,4.27139E+14,2.08864E+13
304,8.48E+16,3.84951E+15,1.43211E+14,4.27062E+14,2.08864E+13
306,8.50E+16,3.86612E+15,1.43982E+14,4.23343E+14,2.08864E+13
308,8.51E+16,4.0791E+15,1.49408E+14,4.33798E+14,2.08864E+13
310,8.52E+16,4.04409E+15,1.40536E+14,4.3221E+14,2.08864E+13
312,8.53E+16,3.98236E+15,1.46463E+14,4.48099E+14,2.08864E+13
314,8.54E+16,3.93064E+15,1.46712E+14,4.47157E+14,2.08864E+13
316,8.56E+16,4.12372E+15,1.55797E+14,4.50337E+14,2.08864E+13
318,8.57E+16,4.20341E+15,1.54346E+14,4.43759E+14,2.08864E+13
320,8.58E+16,4.13968E+15,1.56431E+14,4.49603E+14,2.08864E+13
322,8.59E+16,4.38346E+15,1.59037E+14,4.58782E+14,2.08864E+13
324,8.60E+16,4.25538E+15,1.6267E+14,4.56984E+14,2.08864E+13
326,8.64E+16,4.15271E+15,1.61964E+14,4.6406E+14,2.08864E+13
328,8.65E+16,4.34197E+15,1.54919E+14,4.52307E+14,2.08864E+13
330,8.66E+16,4.23374E+15,1.59228E+14,4.54635E+14,2.08864E+13
332,8.67E+16,4.01735E+15,1.6159E+14,4.48423E+14,2.08864E+13
334,8.68E+16,4.43469E+15,1.58126E+14,4.52204E+14,2.08864E+13
336,8.71E+16,4.25207E+15,1.60201E+14,4.74459E+14,2.08864E+13
338,8.73E+16,4.38559E+15,1.58966E+14,4.63555E+14,2.08864E+13
340,8.74E+16,4.12351E+15,1.70146E+14,4.58871E+14,2.08864E+13
342,8.75E+16,4.40866E+15,1.68045E+14,4.59637E+14,2.08864E+13
344,8.75E+16,4.2519E+15,1.58469E+14,4.5128E+14,2.08864E+13
346,8.76E+16,4.37315E+15,1.59006E+14,4.73127E+14,2.08864E+13
348,8.77E+16,4.49085E+15,1.69164E+14,4.58306E+14,2.08864E+13
350,8.78E+16,4.4614E+15,1.63321E+14,4.70181E+14,2.08864E+13
352,8.79E+16,4.50741E+15,1.64993E+14,4.70247E+14,2.08864E+13
354,8.80E+16,4.61045E+15,1.70898E+14,4.50988E+14,2.08864E+13
356,8.81E+16,4.47877E+15,1.65944E+14,4.43672E+14,2.08864E+13
358,8.82E+16,4.40415E+15,1.71296E+14,4.84731E+14,2.08864E+13
360,8.83E+16,4.40481E+15,1.77054E+14,4.42876E+14,2.08864E+13
362,8.84E+16,4.61396E+15,1.67636E+14,4.78847E+14,2.08864E+13
364,8.85E+16,4.48941E+15,1.72623E+14,4.49753E+14,2.08864E+13
366,8.88E+16,4.6573E+15,1.76651E+14,4.52774E+14,2.08864E+13
368,8.89E+16,4.63034E+15,1.67203E+14,4.3958E+14,2.08864E+13
370,8.89E+16,4.64932E+15,1.75606E+14,4.69216E+14,2.08864E+13
372,8.90E+16,4.58019E+15,1.73312E+14,4.32463E+14,2.08864E+13
374,8.91E+16,4.71314E+15,1.6997E+14,4.54284E+14,2.08864E+13
376,8.94E+16,4.65276E+15,1.73345E+14,4.47485E+14,2.08864E+13
378,8.94E+16,4.71738E+15,1.66007E+14,4.45548E+14,2.08864E+13
380,8.96E+16,4.69234E+15,1.75428E+14,4.39836E+14,2.08864E+13
382,8.97E+16,4.694E+15,1.74997E+14,4.52731E+14,2.08864E+13
384,8.99E+16,4.68911E+15,1.76469E+14,4.76213E+14,2.08864E+13
386,8.99E+16,4.82458E+15,1.84349E+14,4.83031E+14,2.08864E+13
388,9.00E+16,4.78454E+15,1.87158E+14,4.32519E+14,2.08864E+13
390,9.01E+16,4.74544E+15,1.86419E+14,4.36471E+14,2.08864E+13
392,9.02E+16,4.78511E+15,1.7775E+14,4.52495E+14,2.08864E+13
394,9.02E+16,4.81993E+15,1.75463E+14,4.19232E+14,2.08864E+13
396,9.03E+16,4.84136E+15,1.83786E+14,4.65575E+14,2.08864E+13
398,9.04E+16,4.97813E+15,1.836E+14,4.839E+14,2.08864E+13
400,9.04E+16,4.89386E+15,1.88357E+14,4.32817E+14,2.08864E+13
402,9.06E+16,4.73733E+15,1.77471E+14,4.57274E+14,2.08864E+13
404,9.06E+16,4.92775E+15,1.80942E+14,4.69752E+14,2.08864E+13
