time_s,voltage_V,current_A
0.0000000000e+00,0.000000e+00,6.283185e-03
2.0004000800e-08,6.284441e+00,6.283180e-03
4.0008001600e-08,1.256887e+01,6.283165e-03
6.0012002400e-08,1.885328e+01,6.283141e-03
8.0016003201e-08,2.513766e+01,6.283106e-03
1.0002000400e-07,3.142200e+01,6.283061e-03
1.2002400480e-07,3.770630e+01,6.283007e-03
1.4002800560e-07,4.399053e+01,6.282942e-03
1.6003200640e-07,5.027469e+01,6.282868e-03
1.8003600720e-07,5.655877e+01,6.282783e-03
2.0004000800e-07,6.284277e+01,6.282689e-03
2.2004400880e-07,6.912666e+01,6.282585e-03
2.4004800960e-07,7.541045e+01,6.282471e-03
2.6005201040e-07,8.169411e+01,6.282347e-03
2.8005601120e-07,8.797765e+01,6.282213e-03
3.0006001200e-07,9.426105e+01,6.282069e-03
3.2006401280e-07,1.005443e+02,6.281915e-03
3.4006801360e-07,1.068274e+02,6.281751e-03
3.6007201440e-07,1.131103e+02,6.281577e-03
3.8007601520e-07,1.193931e+02,6.281394e-03
4.0008001600e-07,1.256756e+02,6.281200e-03
4.2008401680e-07,1.319580e+02,6.280997e-03
4.4008801760e-07,1.382401e+02,6.280783e-03
4.6009201840e-07,1.445220e+02,6.280560e-03
4.8009601920e-07,1.508037e+02,6.280327e-03
5.0010002000e-07,1.570852e+02,6.280084e-03
5.2010402080e-07,1.633664e+02,6.279831e-03
5.4010802160e-07,1.696474e+02,6.279568e-03
5.6011202240e-07,1.759281e+02,6.279295e-03
5.8011602320e-07,1.822085e+02,6.279012e-03
6.0012002400e-07,1.884886e+02,6.278719e-03
6.2012402480e-07,1.947684e+02,6.278416e-03
6.4012802561e-07,2.010479e+02,6.278104e-03
6.6013202641e-07,2.073271e+02,6.277781e-03
6.8013602721e-07,2.136060e+02,6.277449e-03
7.0014002801e-07,2.198845e+02,6.277107e-03
7.2014402881e-07,2.261627e+02,6.276754e-03
7.4014802961e-07,2.324406e+02,6.276392e-03
7.6015203041e-07,2.387180e+02,6.276020e-03
7.8015603121e-07,2.449951e+02,6.275638e-03
8.0016003201e-07,2.512718e+02,6.275246e-03
8.2016403281e-07,2.575481e+02,6.274844e-03
8.4016803361e-07,2.638240e+02,6.274433e-03
8.6017203441e-07,2.700995e+02,6.274011e-03
8.8017603521e-07,2.763745e+02,6.273579e-03
9.0018003601e-07,2.826491e+02,6.273138e-03
9.2018403681e-07,2.889233e+02,6.272687e-03
9.4018803761e-07,2.951970e+02,6.272225e-03
9.6019203841e-07,3.014703e+02,6.271754e-03
9.8019603921e-07,3.077430e+02,6.271273e-03
1.0002000400e-06,3.140153e+02,6.270782e-03
1.0202040408e-06,3.202871e+02,6.270281e-03
1.0402080416e-06,3.265584e+02,6.269770e-03
1.0602120424e-06,3.328292e+02,6.269249e-03
1.0802160432e-06,3.390994e+02,6.268719e-03
1.1002200440e-06,3.453691e+02,6.268178e-03
1.1202240448e-06,3.516383e+02,6.267628e-03
1.1402280456e-06,3.579069e+02,6.267067e-03
1.1602320464e-06,3.641749e+02,6.266497e-03
1.1802360472e-06,3.704424e+02,6.265917e-03
1.2002400480e-06,3.767092e+02,6.265327e-03
1.2202440488e-06,3.829755e+02,6.264727e-03
1.2402480496e-06,3.892412e+02,6.264117e-03
1.2602520504e-06,3.955062e+02,6.263497e-03
1.2802560512e-06,4.017707e+02,6.262868e-03
1.3002600520e-06,4.080345e+02,6.262228e-03
1.3202640528e-06,4.142976e+02,6.261579e-03
1.3402680536e-06,4.205601e+02,6.260920e-03
1.3602720544e-06,4.268220e+02,6.260250e-03
1.3802760552e-06,4.330831e+02,6.259571e-03
1.4002800560e-06,4.393436e+02,6.258882e-03
1.4202840568e-06,4.456034e+02,6.258183e-03
1.4402880576e-06,4.518625e+02,6.257475e-03
1.4602920584e-06,4.581209e+02,6.256756e-03
1.4802960592e-06,4.643785e+02,6.256028e-03
1.5003000600e-06,4.706354e+02,6.255289e-03
1.5203040608e-06,4.768916e+02,6.254541e-03
1.5403080616e-06,4.831470e+02,6.253783e-03
1.5603120624e-06,4.894016e+02,6.253015e-03
1.5803160632e-06,4.956555e+02,6.252237e-03
1.6003200640e-06,5.019086e+02,6.251449e-03
1.6203240648e-06,5.081609e+02,6.250651e-03
1.6403280656e-06,5.144124e+02,6.249844e-03
1.6603320664e-06,5.206631e+02,6.249026e-03
1.6803360672e-06,5.269130e+02,6.248199e-03
1.7003400680e-06,5.331620e+02,6.247362e-03
1.7203440688e-06,5.394102e+02,6.246515e-03
1.7403480696e-06,5.456575e+02,6.245658e-03
1.7603520704e-06,5.519040e+02,6.244791e-03
1.7803560712e-06,5.581496e+02,6.243914e-03
1.8003600720e-06,5.643943e+02,6.243028e-03
1.8203640728e-06,5.706382e+02,6.242132e-03
1.8403680736e-06,5.768811e+02,6.241225e-03
1.8603720744e-06,5.831231e+02,6.240309e-03
1.8803760752e-06,5.893642e+02,6.239383e-03
1.9003800760e-06,5.956044e+02,6.238448e-03
1.9203840768e-06,6.018436e+02,6.237502e-03
1.9403880776e-06,6.080819e+02,6.236546e-03
1.9603920784e-06,6.143192e+02,6.235581e-03
1.9803960792e-06,6.205555e+02,6.234606e-03
2.0004000800e-06,6.267909e+02,6.233621e-03
2.0204040808e-06,6.330252e+02,6.232626e-03
2.0404080816e-06,6.392586e+02,6.231621e-03
2.0604120824e-06,6.454910e+02,6.230606e-03
2.0804160832e-06,6.517223e+02,6.229582e-03
2.1004200840e-06,6.579526e+02,6.228548e-03
2.1204240848e-06,6.641819e+02,6.227504e-03
2.1404280856e-06,6.704101e+02,6.226450e-03
2.1604320864e-06,6.766373e+02,6.225386e-03
2.1804360872e-06,6.828634e+02,6.224312e-03
2.2004400880e-06,6.890884e+02,6.223229e-03
2.2204440888e-06,6.953123e+02,6.222135e-03
2.2404480896e-06,7.015351e+02,6.221032e-03
2.2604520904e-06,7.077569e+02,6.219919e-03
2.2804560912e-06,7.139775e+02,6.218797e-03
2.3004600920e-06,7.201969e+02,6.217664e-03
2.3204640928e-06,7.264153e+02,6.216522e-03
2.3404680936e-06,7.326325e+02,6.215369e-03
2.3604720944e-06,7.388485e+02,6.214207e-03
2.3804760952e-06,7.450634e+02,6.213035e-03
2.4004800960e-06,7.512771e+02,6.211854e-03
2.4204840968e-06,7.574896e+02,6.210662e-03
2.4404880976e-06,7.637009e+02,6.209461e-03
2.4604920984e-06,7.699110e+02,6.208250e-03
2.4804960992e-06,7.761198e+02,6.207029e-03
2.5005001000e-06,7.823275e+02,6.205798e-03
2.5205041008e-06,7.885339e+02,6.204557e-03
2.5405081016e-06,7.947391e+02,6.203307e-03
2.5605121024e-06,8.009430e+02,6.202047e-03
2.5805161032e-06,8.071457e+02,6.200777e-03
2.6005201040e-06,8.133470e+02,6.199497e-03
2.6205241048e-06,8.195471e+02,6.198208e-03
2.6405281056e-06,8.257459e+02,6.196908e-03
2.6605321064e-06,8.319434e+02,6.195599e-03
2.6805361072e-06,8.381396e+02,6.194280e-03
2.7005401080e-06,8.443345e+02,6.192952e-03
2.7205441088e-06,8.505280e+02,6.191613e-03
2.7405481096e-06,8.567202e+02,6.190265e-03
2.7605521104e-06,8.629110e+02,6.188907e-03
2.7805561112e-06,8.691005e+02,6.187539e-03
2.8005601120e-06,8.752885e+02,6.186161e-03
