Time,O3,NO2,NO3,N2O5,HONO
0,0.0,0.0,0.0,0.0,0.0
1,695000000000000.0,9633333333333.334,218939393939.39395,647727272727.2727,21250000000.0
2,1390000000000000.0,19266666666666.668,437878787878.7879,1295454545454.5454,42500000000.0
3,7490000000000000.0,28900000000000.0,656818181818.1819,1943181818181.818,63750000000.0
4,1.21e+16,38533333333333.336,875757575757.5758,2590909090909.091,85000000000.0
5,1.56e+16,48166666666666.67,1094696969696.9697,3238636363636.3633,106250000000.0
6,1.86e+16,57800000000000.0,1313636363636.3638,3886363636363.636,127500000000.0
7,2.1e+16,67433333333333.336,1532575757575.7576,4534090909090.909,148750000000.0
8,2.29e+16,77066666666666.67,1751515151515.1516,5181818181818.182,170000000000.0
9,2.44e+16,86700000000000.0,1970454545454.5457,5829545454545.454,191250000000.0
10,2.59e+16,96333333333333.34,2189393939393.9395,6477272727272.727,212500000000.0
11,2.75e+16,105966666666666.67,2408333333333.3335,7125000000000.0,233750000000.0
12,2.91e+16,115600000000000.0,2627272727272.7275,7772727272727.272,255000000000.0
13,3.07e+16,125233333333333.34,2846212121212.1216,8420454545454.545,276250000000.0
14,3.23e+16,134866666666666.67,3065151515151.515,9068181818181.818,297500000000.0
15,3.37e+16,144500000000000.0,3284090909090.909,9715909090909.09,318750000000.0
16,3.5e+16,154133333333333.34,3503030303030.303,10363636363636.363,340000000000.0
17,3.6e+16,163766666666666.7,3721969696969.6973,11011363636363.637,361250000000.0
18,3.68e+16,173400000000000.0,3940909090909.0913,11659090909090.908,382500000000.0
19,3.74e+16,183033333333333.34,4159848484848.485,12306818181818.182,403750000000.0
20,3.81e+16,192666666666666.7,4378787878787.879,12954545454545.453,425000000000.0
21,3.89e+16,202300000000000.0,4597727272727.273,13602272727272.727,446250000000.0
22,3.96e+16,211933333333333.34,4816666666666.667,14250000000000.0,467500000000.0
23,4.03e+16,221566666666666.7,5035606060606.061,14897727272727.271,488750000000.0
24,4.09e+16,231200000000000.0,5254545454545.455,15545454545454.545,510000000000.0
25,4.16e+16,240833333333333.34,5473484848484.849,16193181818181.818,531250000000.0
26,4.22e+16,250466666666666.7,5692424242424.243,16840909090909.09,552500000000.0
27,4.28e+16,260100000000000.03,5911363636363.637,17488636363636.363,573750000000.0
28,4.34e+16,269733333333333.34,6130303030303.03,18136363636363.637,595000000000.0
29,4.4e+16,279366666666666.7,6349242424242.425,18784090909090.91,616250000000.0
30,4.46e+16,289000000000000.0,6568181818181.818,19431818181818.18,637500000000.0
31,4.5e+16,280500000000000.0,6787121212121.213,20079545454545.453,658750000000.0
32,4.55e+16,272000000000000.0,7006060606060.606,20727272727272.727,680000000000.0
33,4.6e+16,289000000000000.0,7225000000000.0,21375000000000.0,692600000000.0
34,4.65e+16,510000000000000.0,7443939393939.395,22022727272727.273,705200000000.0
35,4.7e+16,320000000000000.0,7662878787878.788,22670454545454.543,717800000000.0
36,4.75e+16,263000000000000.0,7881818181818.183,23318181818181.816,730400000000.0
37,4.79e+16,297000000000000.0,8100757575757.576,23965909090909.09,743000000000.0
38,4.83e+16,347000000000000.0,8319696969696.97,24613636363636.363,811230769230.7693
39,4.88e+16,515000000000000.0,8538636363636.364,25261363636363.637,879461538461.5385
40,4.92e+16,401000000000000.0,8757575757575.758,25909090909090.906,947692307692.3077
41,4.97e+16,600000000000000.0,8976515151515.152,26556818181818.18,1015923076923.0769
42,5e+16,586000000000000.0,9195454545454.547,27204545454545.453,1084153846153.8462
43,5.04e+16,572000000000000.0,9414393939393.94,27852272727272.727,1152384615384.6155
44,5.08e+16,539000000000000.0,9633333333333.334,28500000000000.0,1220615384615.3848
45,5.12e+16,616000000000000.0,9852272727272.729,29147727272727.273,1288846153846.1538
46,5.16e+16,520000000000000.0,10071212121212.121,29795454545454.543,1357076923076.923
47,5.21e+16,485000000000000.0,10290151515151.516,30443181818181.816,1425307692307.6924
48,5.26e+16,497000000000000.0,10509090909090.91,31090909090909.09,1493538461538.4614
49,5.31e+16,628000000000000.0,10728030303030.303,31738636363636.363,1561769230769.231
50,5.36e+16,654000000000000.0,10946969696969.697,32386363636363.637,1630000000000.0
51,5.43e+16,654000000000000.0,11165909090909.092,33034090909090.906,1655714285714.2856
52,5.48e+16,747000000000000.0,11384848484848.486,33681818181818.18,1681428571428.5715
53,5.51e+16,667000000000000.0,11603787878787.879,34329545454545.453,1707142857142.8572
54,5.56e+16,515000000000000.0,11822727272727.273,34977272727272.727,1732857142857.1428
55,5.63e+16,495000000000000.0,12041666666666.668,35625000000000.0,1758571428571.4285
56,5.68e+16,658000000000000.0,12260606060606.06,36272727272727.27,1784285714285.7144
