time_min,NO3- (uM),NO2- (uM),O3 (nM),H2O2 (uM),OH (pM),HO2 (pM),O2- (pM),ONOOH (pM),ONOO- (pM),O2NOOH (pM),O2NOO- (pM),O3- (pM),HO3 (pM),O (pM)
0.0000,1.000000e-24,9.997489e-25,1.000000e-21,9.999776e-25,1.000000e-18,6.270012e-21,9.937300e-19,2.847472e-19,7.152528e-19,7.358756e-20,9.264124e-19,1.000000e-18,1.000000e-18,1.000000e-18
0.0333,8.727503e-03,1.328486e-04,1.092971e+00,1.614946e-03,1.458339e-01,1.773797e-03,2.719211e-01,6.536480e-01,1.588118e+00,1.778046e-01,2.165119e+00,1.355737e-03,1.177736e-04,8.056158e-06
0.0667,2.949474e-02,4.801927e-04,3.629896e+00,5.909395e-03,6.952939e-02,9.396024e-04,1.335052e-01,8.215352e-01,1.850036e+00,2.335867e-01,2.636344e+00,8.128591e-04,1.428844e-04,1.585885e-05
0.1000,5.674478e-02,9.006901e-04,6.888751e+00,1.227421e-02,5.008821e-02,7.624422e-04,9.883166e-02,7.874891e-01,1.617833e+00,2.963277e-01,3.051135e+00,6.505634e-04,1.748284e-04,2.179723e-05
0.1333,9.024865e-02,1.258473e-03,1.061082e+01,2.059338e-02,4.532044e-02,7.831800e-04,9.167724e-02,8.346134e-01,1.548407e+00,4.092879e-01,3.805649e+00,6.105448e-04,2.255666e-04,2.620017e-05
0.1667,1.297179e-01,1.496678e-03,1.463144e+01,3.075522e-02,4.735203e-02,9.306191e-04,9.782873e-02,9.777256e-01,1.628964e+00,5.933700e-01,4.954731e+00,6.287259e-04,2.991245e-04,2.944630e-05
0.2000,1.748159e-01,1.623686e-03,1.885916e+01,4.265261e-02,5.325886e-02,1.188809e-03,1.119948e-01,1.197216e+00,1.787551e+00,8.689743e-01,6.502686e+00,6.774754e-04,3.969539e-04,3.188501e-05
0.2333,2.251960e-01,1.673609e-03,2.323346e+01,5.618302e-02,6.192648e-02,1.565186e-03,1.321938e-01,1.477034e+00,1.977133e+00,1.256783e+00,8.431512e+00,7.438226e-04,5.195480e-04,3.376294e-05
0.2667,2.805286e-01,1.680043e-03,2.769921e+01,7.124862e-02,7.300696e-02,2.080832e-03,1.578802e-01,1.805498e+00,2.171140e+00,1.777162e+00,1.071070e+01,8.216245e-04,6.672824e-04,3.522826e-05
0.3000,3.405090e-01,1.667156e-03,3.219806e+01,8.775625e-02,8.647820e-02,2.766317e-03,1.891386e-01,2.173997e+00,2.355792e+00,2.450065e+00,1.330625e+01,9.079104e-04,8.406331e-04,3.636141e-05
