Time,O3,NO2,NO3,N2O5,HONO
0,0,0,0,0,0
2,1.65639E+15,5.93084E+13,2.68726E+12,4.69906E+12,2.99939E+11
4,3.31277E+15,1.18617E+14,5.37452E+12,9.39813E+12,5.99878E+11
6,6.43538E+15,1.77925E+14,8.06178E+12,1.40972E+13,8.99817E+11
8,9.36955E+15,2.37234E+14,1.0749E+13,1.87963E+13,1.19976E+12
10,1.19E+16,2.96542E+14,1.34363E+13,2.34953E+13,1.4997E+12
12,1.43E+16,2.76867E+14,1.61236E+13,2.81944E+13,1.79963E+12
14,1.65E+16,3.04022E+14,1.88108E+13,3.28934E+13,1.97614E+12
16,1.84E+16,3.01596E+14,2.14981E+13,3.75925E+13,1.96038E+12
18,2.03E+16,2.99171E+14,2.41853E+13,4.22916E+13,1.94461E+12
20,2.20E+16,3.0617E+14,2.68726E+13,4.69906E+13,1.9901E+12
22,2.36E+16,4.09936E+14,2.95599E+13,5.16897E+13,2.66459E+12
24,2.52E+16,3.30216E+14,3.22471E+13,5.63888E+13,2.1464E+12
26,2.67E+16,5.80016E+14,2.80967E+13,6.10878E+13,3.33513E+12
28,2.80E+16,6.9598E+14,3.13472E+13,6.57869E+13,4.52387E+12
30,2.93E+16,7.19849E+14,3.74404E+13,7.0486E+13,4.67902E+12
32,3.05E+16,6.83616E+14,3.30901E+13,7.5185E+13,4.44351E+12
34,3.16E+16,9.04078E+14,3.47013E+13,7.98841E+13,5.87651E+12
36,3.26E+16,8.97168E+14,4.21748E+13,8.45832E+13,5.83159E+12
38,3.36E+16,1.14155E+15,4.17012E+13,8.92822E+13,7.42009E+12
40,3.45E+16,9.1696E+14,3.77919E+13,9.39813E+13,5.96024E+12
42,3.54E+16,1.10618E+15,4.97115E+13,9.86803E+13,7.19015E+12
44,3.61E+16,1.09397E+15,3.82822E+13,1.03379E+14,6.78332E+12
46,3.68E+16,9.80998E+14,3.79721E+13,1.08078E+14,6.37648E+12
48,3.74E+16,1.19181E+15,3.67368E+13,1.12778E+14,7.28301E+12
50,3.79E+16,1.28035E+15,4.85608E+13,1.17477E+14,8.18954E+12
52,3.85E+16,1.39939E+15,5.55797E+13,1.30543E+14,9.09607E+12
54,3.92E+16,1.45043E+15,6.47392E+13,1.49194E+14,9.42778E+12
56,3.97E+16,1.5789E+15,7.26567E+13,1.78919E+14,1.02628E+13
58,4.03E+16,1.60807E+15,6.20681E+13,1.60988E+14,1.04525E+13
60,4.09E+16,1.71178E+15,7.13726E+13,1.84235E+14,1.11266E+13
62,4.15E+16,1.63591E+15,6.29045E+13,1.77785E+14,1.06334E+13
64,4.20E+16,2.01807E+15,6.60908E+13,1.87952E+14,1.31174E+13
66,4.25E+16,2.07211E+15,8.14246E+13,1.99994E+14,1.34687E+13
68,4.31E+16,2.12545E+15,8.35325E+13,2.23394E+14,1.38155E+13
70,4.35E+16,1.83564E+15,7.78004E+13,2.18547E+14,1.19317E+13
72,4.40E+16,2.12788E+15,8.6236E+13,2.20126E+14,1.38312E+13
74,4.44E+16,2.06771E+15,8.45826E+13,2.33509E+14,1.34401E+13
76,4.49E+16,2.1287E+15,8.49733E+13,2.23687E+14,1.38366E+13
78,4.53E+16,2.30048E+15,7.91463E+13,2.30505E+14,1.49532E+13
80,4.58E+16,2.37158E+15,8.89129E+13,2.49441E+14,1.54153E+13
82,4.62E+16,2.53649E+15,9.95953E+13,2.59193E+14,1.64872E+13
84,4.66E+16,2.61737E+15,9.06245E+13,2.54647E+14,1.70129E+13
86,4.70E+16,2.54927E+15,9.48352E+13,2.59472E+14,1.65703E+13
88,4.75E+16,2.63597E+15,1.06008E+14,2.60129E+14,1.71338E+13
90,4.79E+16,2.49762E+15,1.02632E+14,2.64001E+14,1.62345E+13
92,4.82E+16,2.79234E+15,9.81732E+13,2.76898E+14,1.81502E+13
94,4.86E+16,2.7627E+15,1.01887E+14,2.97722E+14,1.79576E+13
96,4.91E+16,2.84874E+15,1.09705E+14,2.93953E+14,1.85168E+13
98,4.94E+16,2.96361E+15,1.01367E+14,2.94638E+14,1.92635E+13
100,4.98E+16,2.97279E+15,1.05377E+14,2.95984E+14,1.93232E+13
102,5.02E+16,2.78121E+15,1.07658E+14,3.02647E+14,1.80778E+13
104,5.05E+16,2.98102E+15,1.10762E+14,3.08297E+14,1.93766E+13
106,5.10E+16,3.09036E+15,1.11575E+14,3.10777E+14,2.00387E+13
108,5.15E+16,3.18475E+15,1.16582E+14,3.15964E+14,2.07009E+13
110,5.21E+16,3.10198E+15,1.07816E+14,3.08635E+14,2.01628E+13
112,5.25E+16,3.00996E+15,1.12739E+14,3.03434E+14,1.95647E+13
114,5.30E+16,2.90306E+15,1.06059E+14,3.07294E+14,1.88699E+13
116,5.35E+16,3.06942E+15,1.13951E+14,3.16325E+14,1.99512E+13
118,5.39E+16,3.23528E+15,1.1265E+14,3.32933E+14,2.10293E+13
120,5.43E+16,3.14717E+15,1.09905E+14,3.23993E+14,2.04566E+13
122,5.48E+16,3.19714E+15,1.12066E+14,3.2592E+14,2.07814E+13
124,5.53E+16,3.31115E+15,1.14358E+14,3.34427E+14,2.15225E+13
126,5.56E+16,3.18976E+15,1.15469E+14,3.37216E+14,2.07334E+13
128,5.60E+16,3.33671E+15,1.16433E+14,3.33409E+14,2.16886E+13
130,5.64E+16,3.28228E+15,1.19302E+14,3.41388E+14,2.13348E+13
132,5.67E+16,3.35594E+15,1.12909E+14,3.32481E+14,2.18136E+13
134,5.72E+16,3.35039E+15,1.24989E+14,3.38491E+14,2.17775E+13
136,5.76E+16,3.38491E+15,1.27096E+14,3.50985E+14,2.20019E+13
138,5.81E+16,3.49319E+15,1.27267E+14,3.5034E+14,2.27058E+13
140,5.84E+16,3.54071E+15,1.33713E+14,3.59337E+14,2.30146E+13
142,5.87E+16,3.34863E+15,1.36812E+14,3.7218E+14,2.17661E+13
144,5.90E+16,3.44916E+15,1.26085E+14,3.6448E+14,2.24195E+13
146,5.93E+16,3.62106E+15,1.32935E+14,3.72622E+14,2.35369E+13
148,5.97E+16,3.52539E+15,1.30247E+14,3.80163E+14,2.2915E+13
150,5.99E+16,3.79413E+15,1.24898E+14,3.74698E+14,2.46618E+13
152,6.02E+16,3.67415E+15,1.40207E+14,3.81043E+14,2.3882E+13
154,6.06E+16,3.63381E+15,1.26391E+14,3.79554E+14,2.36198E+13
156,6.10E+16,3.71685E+15,1.341E+14,3.85013E+14,2.41595E+13
158,6.14E+16,3.93225E+15,1.34449E+14,3.89876E+14,2.55596E+13
160,6.16E+16,3.9541E+15,1.38802E+14,3.97978E+14,2.57016E+13
162,6.19E+16,3.99493E+15,1.37271E+14,4.10625E+14,2.59671E+13
164,6.23E+16,3.88619E+15,1.38496E+14,4.00205E+14,2.52602E+13
166,6.26E+16,3.77789E+15,1.41661E+14,4.11552E+14,2.45563E+13
168,6.28E+16,3.99893E+15,1.44729E+14,4.08426E+14,2.5993E+13
170,6.30E+16,3.99274E+15,1.45104E+14,4.2067E+14,2.59528E+13
172,6.34E+16,4.24587E+15,1.41913E+14,4.11537E+14,2.75982E+13
174,6.38E+16,3.99377E+15,1.48649E+14,4.19789E+14,2.59595E+13
176,6.40E+16,4.11799E+15,1.46723E+14,4.32774E+14,2.67669E+13
178,6.42E+16,4.15448E+15,1.5397E+14,4.20614E+14,2.70041E+13
180,6.46E+16,4.19128E+15,1.47969E+14,4.21636E+14,2.72433E+13
182,6.49E+16,3.98018E+15,1.51152E+14,4.3128E+14,2.58712E+13
184,6.51E+16,4.21257E+15,1.4941E+14,4.3208E+14,2.73817E+13
186,6.54E+16,4.20833E+15,1.47323E+14,4.36999E+14,2.73542E+13
188,6.56E+16,4.15572E+15,1.4783E+14,4.36559E+14,2.70122E+13
190,6.59E+16,4.41297E+15,1.52532E+14,4.44649E+14,2.86843E+13
192,6.63E+16,4.18602E+15,1.56421E+14,4.47737E+14,2.72091E+13
194,6.64E+16,4.41935E+15,1.67786E+14,4.50221E+14,2.87258E+13
196,6.67E+16,4.30617E+15,1.59953E+14,4.62896E+14,2.79901E+13
198,6.70E+16,4.40937E+15,1.51753E+14,4.45002E+14,2.86609E+13
200,6.72E+16,4.2943E+15,1.48722E+14,4.59897E+14,2.79129E+13
202,6.75E+16,4.43203E+15,1.59651E+14,4.68835E+14,2.88082E+13
204,6.77E+16,4.51189E+15,1.6601E+14,4.71604E+14,2.93273E+13
206,6.79E+16,4.52146E+15,1.64381E+14,4.68705E+14,2.93895E+13
208,6.81E+16,4.56665E+15,1.68147E+14,4.68135E+14,2.96832E+13
210,6.83E+16,4.55873E+15,1.63724E+14,4.88189E+14,2.96317E+13
212,6.88E+16,4.50112E+15,1.66695E+14,4.8672E+14,2.92573E+13
214,6.90E+16,4.76492E+15,1.66417E+14,4.67147E+14,2.96567E+13
216,6.91E+16,4.62402E+15,1.67539E+14,4.90788E+14,3.00561E+13
218,6.93E+16,4.58411E+15,1.74176E+14,4.65089E+14,2.97967E+13
220,6.95E+16,4.72053E+15,1.65943E+14,4.85731E+14,3.06834E+13
222,6.98E+16,4.73321E+15,1.64494E+14,4.89967E+14,3.05992E+13
