Time,O3,NO,NO2,NO3,N2O4,N2O5,HONO,HONO2,R2,Plasma_Type,Humidity_Weight
0.0,2115605364979.622,0.0,54773730893034.22,6726950551025.948,0.0,0.0,0.0,0.0,-0.06098874367370333,mixed,0.0
1.0,424909732391819.5,0.0,69407417511088.7,3203810268334.217,0.0,56137096098917.59,0.0,0.0,0.9974617954895358,O3_dominant,0.0
2.0,740967197751406.0,0.0,110645005335070.2,10010048566321.46,0.0,100151025080622.6,0.0,0.0,0.9984595417564525,O3_dominant,0.0
3.0,880943557651055.8,0.0,86122166595348.97,4977863543919.198,0.0,115047129610727.67,0.0,0.0,0.9988660097675047,O3_dominant,0.0
4.0,1039121386720452.2,0.0,111063276709014.64,9707015380112.428,0.0,143784484604110.75,0.0,0.0,0.9989269614368391,O3_dominant,0.0
5.0,1188989779874735.0,0.0,89619925468591.77,8276913786591.168,0.0,167276809312677.5,0.0,0.0,0.9991100936151533,O3_dominant,0.0
6.0,1304727150006089.5,0.0,154881619822025.2,8424479866410.562,0.0,194087505235804.44,0.0,0.0,0.9990319436374092,O3_dominant,0.0
7.0,1377169471946238.0,0.0,154544845708389.44,11943479299084.898,0.0,204405238693629.56,0.0,0.0,0.9990933779252296,O3_dominant,0.0
8.0,1421239466661778.5,0.0,109082600382909.56,6843376070245.943,0.0,204165869603711.22,0.0,0.0,0.9991058808077597,O3_dominant,0.0
9.0,1458946051113296.5,0.0,202709146404824.75,16714468164347.76,0.0,216690075341015.38,0.0,0.0,0.9990004967110797,O3_dominant,0.0
10.0,1483670782616164.2,0.0,165759409944069.6,13596560794866.213,0.0,196112369808032.8,0.0,0.0,0.999101621623952,O3_dominant,0.0
11.0,1512245071339963.5,0.0,235111974134813.22,16453153264723.752,0.0,233852450765895.56,0.0,0.0,0.9989820512264677,O3_dominant,0.0
12.0,1558114911070040.2,0.0,170655597458404.7,14433630724913.662,0.0,224506772212127.12,0.0,0.0,0.9990709590592237,O3_dominant,0.0
13.0,1591205358596485.5,0.0,173733425113898.62,15048024925434.72,0.0,244399229974639.75,0.0,0.0,0.9990510977758642,O3_dominant,0.0
14.0,1624675937852875.0,0.0,268290877935432.62,21566077158749.19,0.0,258614330753725.4,0.0,0.0,0.9989807879362397,O3_dominant,0.0
15.0,1643087557895788.5,0.0,210418589160605.16,19443909874986.703,0.0,248646957429809.44,0.0,0.0,0.9990383446030465,O3_dominant,0.0
16.0,1657934374811396.2,0.0,240836161440825.5,26892702980382.742,0.0,259728596625276.12,0.0,0.0,0.9989278958061318,O3_dominant,0.0
17.0,1674224550629445.5,0.0,226542029721509.75,21476603268837.883,0.0,269018105648856.2,0.0,0.0,0.998990066882308,O3_dominant,0.0
18.0,1690106730514215.8,0.0,386867659633068.1,30278425222894.438,0.0,273374709151555.7,0.0,0.0,0.9988786445485952,O3_dominant,0.0
19.0,1710559899507342.0,0.0,241708254595884.16,21912864419483.586,0.0,275409381574443.4,0.0,0.0,0.9989933083893126,O3_dominant,0.0
20.0,1728819006845029.5,0.0,315537100385228.2,29662530309761.62,0.0,274042904262364.28,0.0,0.0,0.9988319941708064,O3_dominant,0.0
21.0,1745444323163298.0,0.0,353468797749935.0,33257448910380.555,0.0,287897441226132.06,0.0,0.0,0.9988228992637852,O3_dominant,0.0
22.0,1754917981584569.2,0.0,406062457029186.75,32555984491005.617,0.0,311225906649533.2,0.0,0.0,0.9988083586107815,O3_dominant,0.0
23.0,1761092102773935.5,0.0,321008421234926.75,27095917257706.1,0.0,299825699537736.94,0.0,0.0,0.9989470867248289,O3_dominant,0.0
24.0,1764770659781658.8,0.0,398998678906087.25,36836904466433.2,0.0,298202105778086.9,0.0,0.0,0.998791165881994,O3_dominant,0.0
25.0,1760116652667573.5,0.0,324582142675796.3,31971618062765.285,0.0,279181058701609.38,0.0,0.0,0.9988510158157966,O3_dominant,0.0
26.0,1765530784278922.0,0.0,379917885151914.6,36566491160417.664,0.0,307633763003661.1,0.0,0.0,0.9988002880833995,O3_dominant,0.0
