Index,Time,Initial_pH,Final_pH,NO_nM,NO2_nM,NO2-_uM,NO3-_uM,H+_uM,OH-_nM,OH_pM,ONOO-_nM,HONO_uM,HONO2_uM,O3_gas,NO2_gas,N2O4_gas,HONO_gas,HONO2_gas,H2O2_gas,N2O4_source,plasma_on
0,0.0,6.5,6.222434389439822,5.972976722483361e-07,27.10935268839227,0.07327985388374486,0.20967717227485524,0.5991914539624117,16.68915658656408,0.00013442719250173645,0.0001803963347063969,0.0001102885196248323,1e-14,162266216620583.9,110975197130151.45,3377202486.1318774,103094.48877505386,20164166716066.242,32453243324.116783,equilibrium,False
1,1.0,6.5,5.89021099633251,2.9427638775534503e-05,28.25223059704396,0.09336474011562529,0.8780253418600417,1.2876238243959635,7.766243378466902,2.134037776235278e-05,9.033412102072632e-05,0.00030197224311876374,1e-14,1311157362466232.8,143357268684253.22,5635658725.697328,172037.46521633634,130172309790488.22,262231472493.24655,equilibrium,False
2,2.0,6.5,5.707493207920513,2.7958717426742943e-08,28.745187317712386,0.10154192208977549,1.543357000827347,1.9611318460458522,5.099096228630683,1.266471962499585e-05,5.928051007033399e-05,0.0005002097750470703,1e-14,2247948541438050.8,162007817772809.94,7197425766.652238,219712.8934247851,218052235570093.94,449589708287.61017,equilibrium,False
3,3.0,6.5,5.64919198681223,2.5529827884395645e-08,28.919220335839128,0.10284287196164417,1.823814616088664,2.24289019915932,4.458533014171954,9.382244659486495e-06,5.1117874563099666e-05,0.0005794049671684142,1e-14,3011055325904344.5,170764071795794.53,7996468920.634976,244104.95928619828,287564041990304.06,602211065180.8689,equilibrium,False
4,4.0,6.5,5.5908517429663895,2.335863580395235e-08,28.975294825295236,0.10062526551059085,2.1485019244112915,2.565359635253098,3.898088931735396,7.530028110398225e-06,4.3264003650237364e-05,0.0006484183596970677,1e-14,3638893288233420.5,173463258153180.0,8251259559.858505,251882.84965649253,342467826995224.4,727778657646.6841,equilibrium,False
5,5.0,6.5,5.549470689826157,2.2064133931459783e-08,28.98943489179366,0.09749417508675061,2.408093605280538,2.8218200189537233,3.5438121258257422,6.445014833934417e-06,3.849165748738673e-05,0.0006909763457125118,1e-14,4169878000793596.0,173942604244939.94,8296925413.834075,253276.87263539893,386523688532522.6,833975600158.7192,equilibrium,False
6,6.0,6.5,5.515747710991069,2.083441000170136e-08,29.00003200758004,0.09468558882924921,2.6386782274625387,3.049666077748398,3.2790475236159558,5.464244131414221e-06,3.40061661556364e-05,0.0007253309070829079,1e-14,4678515744345316.0,174746431032813.12,8373786411.276722,255623.17709023374,425492165222096.94,935703148869.0632,equilibrium,False
7,7.0,6.5,5.480663258803744,1.9967924010562626e-08,29.37229672540699,0.10500942634661359,2.8850138496461164,3.3062580074104013,3.0245673440147747,5.009568090928222e-06,3.151596260621619e-05,0.0008720974960113087,1e-14,5156838922378784.0,198675966027779.5,10824202706.16337,330426.0401832155,462836078717273.6,1031367784475.7568,equilibrium,False
8,8.0,6.5,5.452345672153263,1.935205698367766e-08,29.563668484063605,0.10916249435683674,3.1036274681967115,3.5290216918430874,2.833646509860112,4.601608158010144e-06,2.9510782013306318e-05,0.0009551338004018822,1e-14,5640405105739514.0,212740394170908.88,12410954091.644207,378864.15533059003,497254419286363.75,1128081021147.9028,equilibrium,False
9,9.0,6.5,5.422247318401747,1.886451711141936e-08,29.75106316640221,0.11416436965543564,3.3518754109539977,3.782271337406706,2.6439139627996524,4.315323417500254e-06,2.7876895773778357e-05,0.0010846341668204103,1e-14,6136913382575738.0,229474423972059.12,14440220560.757427,440810.74872576515,536106235668086.06,1227382676515.1477,equilibrium,False
10,10.0,6.5,5.397644549213407,1.933179431442617e-08,29.928479026682634,0.11856759723208847,3.5679233351821558,4.002722208062148,2.498299777068425,4.599262329976894e-06,2.9672617092508352e-05,0.0011921241551667734,1e-14,6623135788139646.0,245860679747495.78,16576139997.77249,506013.09395913593,569401804972795.6,1324627157627.9292,equilibrium,False
11,11.0,6.5,5.360204476662253,1.780724234070855e-08,30.303943625338665,0.1371201927081103,3.9097522935819606,4.363103580858017,2.2919465043046703,3.7929050414436035e-06,2.42312632500435e-05,0.0015027853700758506,1e-14,7063642139091582.0,292057062110117.7,23390562956.377098,714034.2162043062,601657932996938.2,1412728427818.3164,equilibrium,False
12,12.0,6.5,5.34837431531244,1.7585327079972533e-08,30.568970416115608,0.15342686087556073,4.013929971423201,4.483587861157298,2.2303566495705915,1e-08,2.3393023281011695e-05,0.0017279338242938605,1e-14,7441550546561140.0,335340095617359.3,30837290899.880123,941357.4559374579,626621536831198.6,1488310109312.228,equilibrium,False
13,13.0,6.5,5.331956448281328,1.756236924781712e-08,30.73869348886277,0.16530709104110028,4.174789809280502,4.6563278555371115,2.1476150971971575,3.531306618150903e-06,2.303982565073318e-05,0.0019334594072838807,1e-14,7768044002238158.0,370900709623815.25,37724246890.63471,1151592.764598608,645810862232847.1,1553608800447.6316,equilibrium,False
14,14.0,6.5,5.319412207040663,1.830537133402503e-08,30.83657959733601,0.1715836549561248,4.304992448794517,4.792783295943562,2.0864702997368085,3.962574202849847e-06,2.5588465970237486e-05,0.0020656832691252573,1e-14,8052916004845724.0,393338874931218.06,42426674535.65041,1295141.8636103878,662715472371071.4,1610583200969.1448,equilibrium,False
15,15.0,6.5,5.306044018291366,1.7266753179977414e-08,30.963100119294204,0.18308163442867445,4.443166898596955,4.942605882402424,2.0232242339498687,3.23538515605324e-06,2.1235686948738842e-05,0.0022730070771507485,1e-14,8304782474285801.0,426513210906637.6,49885028568.93258,1522820.0082647444,679183531577052.2,1660956494857.1602,equilibrium,False
16,16.0,6.5,5.295408906941916,1.7791506118170572e-08,31.063037045001188,0.19161599179630084,4.557285856598632,5.065135793615716,1.9742807315587707,3.4067472632540412e-06,2.3873829223238784e-05,0.0024379392016257335,1e-14,8527073656541411.0,454518751463038.75,56651166921.614624,1729367.1659538264,692018256450215.1,1705414731308.2822,equilibrium,False
17,17.0,6.5,5.283114564394014,1.7337959144842164e-08,31.177382563199345,0.2056997716000682,4.6886411416458715,5.210572410616043,1.9191749412571766,3.119634798071269e-06,2.0281877392895874e-05,0.002692274094072783,1e-14,8727092206624624.0,496798321371835.4,67680800929.84139,2066064.3240672187,704461337964383.5,1745418441324.9248,equilibrium,False
18,18.0,6.5,5.274550162501442,1.8327535366711474e-08,31.25263241387496,0.2138182407243517,4.784297532127377,5.314346134419303,1.881699036367399,3.713168664568561e-06,2.3445997931038613e-05,0.0028542671375416068,1e-14,8905269133501256.0,525115105522504.75,75616099750.97896,2308301.96856791,713638472197520.8,1781053826700.2512,equilibrium,False
19,19.0,6.5,5.266763314011608,1.7621752682435547e-08,31.277261438111008,0.21738705601831151,4.876873508644933,5.410491087635135,1.8482610613731014,1e-08,2.037745761059679e-05,0.002943695866262428,1e-14,9065764552897276.0,541875861502486.9,80520202897.58812,2458007.533714193,724870783306442.6,1813152910579.455,equilibrium,False
20,20.0,6.5,5.261988964607947,1.7406653161608818e-08,31.3082034066631,0.21853899390978287,4.935529136340002,5.470298627074761,1.828053764846101,2.977578735737202e-06,1.9355318238302664e-05,0.003002894011355004,1e-14,9215168685415390.0,550856197112739.4,83211189291.46591,2540154.182520913,732533800590773.6,1843033737083.078,equilibrium,False
21,21.0,6.5,5.253996607748213,1.7803947117586525e-08,31.366880159147968,0.22492563650880615,5.030744713916758,5.571901010980585,1.7947196083259684,3.1713585193376614e-06,2.025121097007234e-05,0.0031480554975557907,1e-14,9357741934566070.0,574119767386358.2,90387890421.23985,2759234.4233722175,742974790354157.1,1871548386913.214,equilibrium,False
22,22.0,6.5,5.250160688642095,1.8113028903804947e-08,31.373062634553197,0.22556596370324344,5.079536712136962,5.621332977968347,1.7789374938738012,3.331306244510872e-06,2.124547520368492e-05,0.0031850254707325196,1e-14,9494317745259992.0,581746384876844.5,92805269512.21245,2833028.773158087,749213258379569.9,1898863549051.9983,equilibrium,False
23,23.0,6.5,5.246162769563376,1.7688258248589293e-08,31.3937608480331,0.22715397190700626,5.129934954404282,5.67331934784734,1.7626365425456112,2.9886092501234343e-06,1.93943116057023e-05,0.0032371110339278375,1e-14,9628991427044756.0,592131338434039.5,96148240978.70345,2935078.3054981576,755018218517986.8,1925798285408.9512,equilibrium,False
24,24.0,6.5,5.245550025296332,1.7685722959480777e-08,31.382021265867124,0.22267884208893712,5.142420285710014,5.681329459760936,1.7601513995772056,3.001196924806812e-06,1.961579621964779e-05,0.0031778175562619205,1e-14,9761850615101760.0,585133738655735.4,93889176583.02043,2866116.764122053,758675024814843.0,1952370123020.352,equilibrium,False
25,25.0,6.5,5.2410066841237,1.7785039472805866e-08,31.422506572584226,0.2279297941706679,5.196916107405341,5.741076261845797,1.741833681345551,2.9763619703215607e-06,1.9513140427447595e-05,0.0032869602015573535,1e-14,9897021295818324.0,603405254167963.2,99844334127.79846,3047907.44003648,764115464906227.4,1979404259163.6648,equilibrium,False
26,26.0,6.5,5.234326413921764,1.768707790587746e-08,31.48055460168258,0.2361796168406449,5.277657568201573,5.830067541178159,1.7152459949093988,2.78604612579372e-06,1.8331216292070278e-05,0.0034587249900226835,1e-14,1.0025948017040586e+16,633244379050364.1,109963343661.46065,3356806.3346294593,770287045248054.4,2005189603408.1172,equilibrium,False
27,27.0,6.5,5.2276271408196555,1.8626283216370538e-08,31.548132814804926,0.24792055826199463,5.356546708298168,5.920697315749865,1.6889902433376782,3.2426663175683943e-06,2.0749512092170535e-05,0.003687104383691706,1e-14,1.014928975676997e+16,673010420870609.5,124207788055.52625,3791640.7038214784,773827532012788.2,2029857951353.994,equilibrium,False
28,28.0,6.5,5.224831728673352,1.855235542080628e-08,31.559765396962238,0.25060695095864916,5.392092759879614,5.958929829337819,1.6781536763232372,1e-08,2.0086932648476756e-05,0.003751123966568037,1e-14,1.026201197270284e+16,687086173512485.8,129457634846.92271,3951900.644801885,776026433250895.5,2052402394540.568,equilibrium,False
29,29.0,6.5,5.22224122674212,1.872841362527915e-08,31.56498167153381,0.2509560632468748,5.427394033455888,5.994580177473396,1.6681735340659292,3.212510591642669e-06,2.0667687793581566e-05,0.003762587192222462,1e-14,1.0371760604730404e+16,694266440543639.2,132177518955.87115,4034929.4424208864,779894561953351.8,2074352120946.0808,equilibrium,False
