Time,O3,NO2,NO3,N2O5,HONO
0,0,0,0,0,0
2,0,0,0,0,0
4,2.57101E+15,0,0,0,0
6,5.51487E+15,0,0,0,0
8,7.72646E+15,0,0,0,0
10,9.56863E+15,0,0,0,0
12,1.11E+16,0,0,0,0
14,1.25E+16,0,0,0,0
16,1.37E+16,0,0,0,0
18,1.49E+16,0,0,0,0
20,1.60E+16,0,0,0,0
22,1.70E+16,0,0,0,0
24,1.79E+16,0,0,0,0
26,1.87E+16,0,4.21924E+13,0,0
28,1.95E+16,0,3.47979E+13,0,0
30,2.02E+16,0,3.96607E+13,0,0
32,2.09E+16,0,4.76714E+13,0,0
34,2.16E+16,0,4.43347E+13,0,0
36,2.22E+16,0,5.68198E+13,0,0
38,2.29E+16,0,5.35786E+13,0,0
40,2.35E+16,0,5.47667E+13,1.18266E+14,0
42,2.40E+16,0,5.83019E+13,1.11267E+14,0
44,2.45E+16,0,5.9958E+13,1.44084E+14,0
46,2.50E+16,2.87664E+14,5.51082E+13,1.25391E+14,0
48,2.54E+16,2.67825E+14,5.84688E+13,1.31646E+14,0
50,2.58E+16,3.534E+14,6.9079E+13,1.44359E+14,0
52,2.62E+16,3.49143E+14,7.46415E+13,1.38772E+14,0
54,2.66E+16,3.13325E+14,6.37067E+13,1.53382E+14,0
56,2.69E+16,2.99561E+14,7.38905E+13,1.51645E+14,0
58,2.72E+16,4.21711E+14,8.06067E+13,1.58522E+14,0
60,2.75E+16,3.08599E+14,8.04242E+13,1.6688E+14,0
62,2.78E+16,5.56216E+14,6.66748E+13,1.6748E+14,0
64,2.81E+16,4.93368E+14,8.04017E+13,1.85389E+14,0
66,2.84E+16,5.95189E+14,7.63163E+13,1.80435E+14,0
68,2.86E+16,4.98605E+14,8.90378E+13,1.90204E+14,0
70,2.89E+16,6.43532E+14,8.66004E+13,1.95766E+14,0
72,2.92E+16,6.14568E+14,8.40315E+13,2.00353E+14,0
74,2.94E+16,7.56473E+14,8.70604E+13,2.03211E+14,0
76,2.97E+16,7.88049E+14,9.4534E+13,2.14569E+14,0
78,2.99E+16,6.93664E+14,9.43569E+13,2.1204E+14,0
80,3.01E+16,6.5437E+14,9.86909E+13,2.15079E+14,0
82,3.03E+16,8.41538E+14,1.0316E+14,2.27985E+14,0
84,3.05E+16,8.03052E+14,1.06175E+14,2.24386E+14,0
86,3.07E+16,9.69207E+14,1.01508E+14,2.37366E+14,0
88,3.08E+16,8.01115E+14,9.92999E+13,2.34153E+14,0
90,3.10E+16,6.76401E+14,1.05283E+14,2.45818E+14,0
92,3.12E+16,8.068E+14,1.05131E+14,2.50662E+14,0
94,3.13E+16,8.59057E+14,1.05418E+14,2.5266E+14,0
96,3.14E+16,1.07983E+15,1.0551E+14,2.55353E+14,0
98,3.15E+16,9.89551E+14,1.102E+14,2.64397E+14,0
100,3.17E+16,9.02518E+14,1.16203E+14,2.78551E+14,0
102,3.18E+16,1.0245E+15,1.16452E+14,2.84103E+14,0
104,3.20E+16,1.034E+15,1.16644E+14,2.89851E+14,0
106,3.20E+16,1.0602E+15,1.1097E+14,2.89573E+14,0
108,3.21E+16,1.23035E+15,1.20261E+14,2.87027E+14,0
110,3.23E+16,1.11369E+15,1.23944E+14,2.97442E+14,0
112,3.24E+16,1.19444E+15,1.16091E+14,3.13305E+14,0
114,3.25E+16,1.17457E+15,1.26087E+14,3.04149E+14,0
116,3.26E+16,1.25955E+15,1.38003E+14,3.27669E+14,0
118,3.27E+16,1.2845E+15,1.24073E+14,3.16615E+14,0
120,3.28E+16,1.27625E+15,1.36343E+14,3.3147E+14,0
122,3.28E+16,1.33334E+15,1.31338E+14,3.24612E+14,0
124,3.29E+16,1.27011E+15,1.31976E+14,3.35605E+14,0
126,3.30E+16,1.32484E+15,1.43496E+14,3.43774E+14,0
128,3.31E+16,1.3979E+15,1.38546E+14,3.34291E+14,0
130,3.32E+16,1.5122E+15,1.5557E+14,3.57264E+14,0
132,3.33E+16,1.34854E+15,1.44838E+14,3.56233E+14,0
134,3.34E+16,1.20417E+15,1.50086E+14,3.68158E+14,0
136,3.34E+16,1.25328E+15,1.39905E+14,3.53137E+14,0
138,3.35E+16,1.37354E+15,1.46075E+14,3.61079E+14,0
140,3.36E+16,1.51944E+15,1.42724E+14,3.66774E+14,0
142,3.36E+16,1.53659E+15,1.54819E+14,3.80135E+14,0
144,3.38E+16,1.61872E+15,1.53328E+14,3.71968E+14,0
146,3.38E+16,1.58278E+15,1.53315E+14,3.79321E+14,0
148,3.39E+16,1.40926E+15,1.65909E+14,3.8303E+14,0
150,3.40E+16,1.73091E+15,1.60416E+14,3.86259E+14,0
152,3.40E+16,1.59076E+15,1.61744E+14,4.04371E+14,0
154,3.41E+16,1.6826E+15,1.59862E+14,3.91952E+14,0
156,3.42E+16,1.7474E+15,1.69395E+14,4.07519E+14,0
158,3.42E+16,1.74412E+15,1.63797E+14,4.05766E+14,0
160,3.43E+16,1.63761E+15,1.59134E+14,4.07263E+14,0
162,3.44E+16,1.78843E+15,1.64922E+14,4.05073E+14,0
164,3.45E+16,1.57297E+15,1.74005E+14,4.09685E+14,0
166,3.45E+16,1.78209E+15,1.75653E+14,4.29754E+14,0
168,3.46E+16,1.73298E+15,1.72863E+14,4.08239E+14,0
170,3.47E+16,1.80459E+15,1.8032E+14,4.20495E+14,0
172,3.48E+16,1.78209E+15,1.64139E+14,4.00899E+14,0
174,3.48E+16,1.77399E+15,1.70704E+14,4.01263E+14,0
176,3.49E+16,1.64364E+15,1.70075E+14,4.07543E+14,0
178,3.50E+16,1.81436E+15,1.69198E+14,4.22837E+14,0
180,3.51E+16,1.82015E+15,1.76009E+14,4.34752E+14,0
182,3.51E+16,1.85076E+15,1.83678E+14,4.1904E+14,0
184,3.52E+16,1.88927E+15,1.8457E+14,4.15829E+14,0
186,3.53E+16,2.00105E+15,1.76226E+14,4.27478E+14,0
188,3.54E+16,1.87428E+15,1.82595E+14,4.3361E+14,0
190,3.55E+16,2.02172E+15,1.88169E+14,4.394E+14,0
192,3.55E+16,2.07983E+15,1.85393E+14,4.52003E+14,0
194,3.56E+16,1.8873E+15,1.96321E+14,4.52948E+14,0
196,3.57E+16,1.96444E+15,1.879E+14,4.18086E+14,0
198,3.57E+16,2.02249E+15,1.86384E+14,4.31295E+14,0
200,3.58E+16,2.00116E+15,1.88194E+14,4.23312E+14,0
202,3.59E+16,1.98494E+15,1.90346E+14,4.59416E+14,0
204,3.60E+16,2.09653E+15,2.0515E+14,4.45344E+14,0
206,3.61E+16,1.99387E+15,1.95934E+14,4.37157E+14,0
208,3.61E+16,2.0043E+15,1.99387E+14,4.45612E+14,0
210,3.62E+16,2.1268E+15,1.99686E+14,4.39794E+14,0
212,3.62E+16,2.23541E+15,1.95712E+14,4.35761E+14,0
214,3.62E+16,2.15975E+15,2.02328E+14,4.24002E+14,0
216,3.63E+16,2.04241E+15,2.01193E+14,4.58393E+14,0
218,3.63E+16,1.98142E+15,2.04901E+14,4.52765E+14,0
220,3.64E+16,2.17151E+15,2.01991E+14,4.5749E+14,0
222,3.64E+16,2.13171E+15,2.16317E+14,4.17855E+14,0
224,3.65E+16,2.15851E+15,2.03396E+14,4.26818E+14,0
226,3.65E+16,2.26312E+15,2.08065E+14,4.43903E+14,0
228,3.66E+16,2.23865E+15,2.08393E+14,4.27861E+14,0
230,3.67E+16,2.07264E+15,2.14961E+14,4.2977E+14,0
232,3.68E+16,2.21232E+15,2.16794E+14,4.4776E+14,0
234,3.68E+16,2.25512E+15,2.20201E+14,4.31552E+14,0
236,3.69E+16,2.07682E+15,2.15402E+14,4.36038E+14,0
238,3.70E+16,2.33425E+15,2.15418E+14,4.44541E+14,0
240,3.71E+16,2.01869E+15,2.15239E+14,4.19542E+14,0
242,3.72E+16,2.15468E+15,2.1724E+14,4.47841E+14,0
244,3.72E+16,2.02399E+15,2.21989E+14,4.5148E+14,0
246,3.74E+16,2.18546E+15,2.23465E+14,4.47516E+14,0
248,3.74E+16,2.33202E+15,2.3272E+14,4.52016E+14,0
250,3.75E+16,2.2288E+15,2.28988E+14,4.50212E+14,0
252,3.76E+16,2.31699E+15,2.25263E+14,4.57677E+14,0
254,3.77E+16,2.20042E+15,2.34642E+14,4.50964E+14,0
256,3.78E+16,2.40262E+15,2.22197E+14,4.40074E+14,0
258,3.79E+16,2.40583E+15,2.45033E+14,4.7545E+14,0
260,3.80E+16,2.41143E+15,2.38795E+14,4.9008E+14,0
262,3.80E+16,2.18148E+15,2.27507E+14,4.6941E+14,0
264,3.81E+16,2.35523E+15,2.36842E+14,4.47912E+14,0
266,3.82E+16,2.29261E+15,2.37114E+14,4.58662E+14,0
268,3.83E+16,2.39252E+15,2.34963E+14,4.59329E+14,0
270,3.84E+16,2.48931E+15,2.51562E+14,4.58904E+14,0
272,3.84E+16,2.31024E+15,2.50446E+14,4.6005E+14,0
274,3.85E+16,2.41709E+15,2.37511E+14,4.67726E+14,0
276,3.86E+16,2.5031E+15,2.4635E+14,4.85749E+14,0
278,3.87E+16,2.35583E+15,2.49542E+14,4.81563E+14,0
280,3.88E+16,2.42523E+15,2.48027E+14,4.73752E+14,0
282,3.89E+16,2.51682E+15,2.51834E+14,4.7781E+14,0
284,3.89E+16,2.46066E+15,2.46149E+14,4.66627E+14,0
286,3.91E+16,2.37148E+15,2.4664E+14,4.70528E+14,0
